Category,Course Code,Course Name,Credits
Wellness Requirement,APPH1040,Scientific Foundations of Health,2
Wellness Requirement,orAPPH1050,The Science of Physical Activity and Health,2
Wellness Requirement,orAPPH1060,Flourishing: Strategies for Well-being and Resilience,2
Institutional Priority,CS1301,Introduction to Computing,3
Institutional Priority,orCS1315,Introduction to Media Computation,3
Institutional Priority,orCS1371,Computing for Engineers,3
Mathematics and Quantitative Skills,MATH1712,Survey of Calculus,4
Mathematics and Quantitative Skills,orMATH1552,Integral Calculus,4
Political Science and U.S. History,HIST2111,The United States to 1877,3
Political Science and U.S. History,orHIST2112,The United States since 1877,3
Political Science and U.S. History,orINTA1200,American Government in Comparative Perspective,3
Political Science and U.S. History,orPOL1101,Government of the United States,3
Political Science and U.S. History,orPUBP3000,American Constitutional Issues,3
"Arts, Humanities, and Ethics",Any HUM,SELECT,6
Communicating in Writing,ENGL1101,English Composition I,3
Communicating in Writing,ENGL1102,English Composition II,3
"Technology, Mathematics, and Sciences",Lab Science,4
"Technology, Mathematics, and Sciences",Lab Science,4
"Technology, Mathematics, and Sciences",MATH1711,Finite Mathematics,4
"Technology, Mathematics, and Sciences",orMATH1551&MATH1553,Differential Calculusand Introduction to Linear Algebra,4
Social Sciences,Any SS,SELECT,9
Field of Study,Approved Cluster,18
ALIS Major Requirements,RUSS4500,Russian Intercultural Capstone Seminar,3
ALIS Major Requirements,Russian Electives,27
ALIS Major Requirements,Study Abroad Experience (12 credits from 30 credits of Russian Electives for the ALIS Major Requirements and/or 18 credits of Approved Cluster),
Free Electives,Free Electives,SELECT,29
Free Electives,Total Credit Hours,122
