Category,Course Code,Course Name,Credits
Wellness Requirement,APPH1040,Scientific Foundations of Health,2
Wellness Requirement,orAPPH1050,The Science of Physical Activity and Health,2
Wellness Requirement,orAPPH1060,Flourishing: Strategies for Well-being and Resilience,2
Institutional Priority,CS1371,Computing for Engineers,3
Mathematics and Quantitative Skills,MATH1552,Integral Calculus,4
Political Science and U.S. History,HIST2111,The United States to 1877,3
Political Science and U.S. History,orHIST2112,The United States since 1877,3
Political Science and U.S. History,orINTA1200,American Government in Comparative Perspective,3
Political Science and U.S. History,orPOL1101,Government of the United States,3
Political Science and U.S. History,orPUBP3000,American Constitutional Issues,3
"Arts, Humanities, and Ethics",Any HUM,SELECT,6
Communicating in Writing,ENGL1101,English Composition I,3
Communicating in Writing,ENGL1102,English Composition II,3
"Technology, Mathematics, and Sciences",PHYS2211,Introductory Physics I,4
"Technology, Mathematics, and Sciences",PHYS2212,Introductory Physics II,4
"Technology, Mathematics, and Sciences",MATH1551,Differential Calculus,2
"Technology, Mathematics, and Sciences",MATH1553,Introduction to Linear Algebra,2
Social Sciences,Select one of the following:,SELECT,3
Social Sciences,ECON2100,Economic Analysis and Policy Problems,3
Social Sciences,ECON2101,The Global Economy,3
Social Sciences,ECON2105,Principles of Macroeconomics,3
Social Sciences,ECON2106,Principles of Microeconomics,3
Social Sciences,Any SS,SELECT,6
Field of Study,MATH2551,Multivariable Calculus,4
Field of Study,MATH2552,Differential Equations,4
Field of Study,MSE2001,Principles and Applications of Engineering Materials,3
Field of Study,CHEM1310,Principles of General Chemistry for Engineers,4
Field of Study,AE1601,Introduction to Aerospace Engineering,1
Field of Study,COE2001,Statics,2
Major Requirements,AE2010,Thermodynamics & Fluids Fundamentals,4
Major Requirements,AE2220,Dynamics,3
Major Requirements,COE3001,Mechanics of Deformable Bodies,3
Major Requirements,AE2610,Introduction to Experimental Methods in Aerospace,1
Major Requirements,AE2611,Technical Communications for Aerospace Engineers,1
Major Requirements,AE3330,Introduction to Aerospace Vehicle Performance,3
Major Requirements,AE3030,Aerodynamics,4
Major Requirements,AE3140,Structural  Analysis,3
Major Requirements,AE3530,System Dynamics and Vibration,3
Major Requirements,AE3531,Control System Analysis and Design,3
Major Requirements,AE3610,Experiments in Fluid and Solid Mechanics,2
Major Requirements,AE4311,Aircraft Design I: Conceptual Design,3
Major Requirements,orAE4321,Space System Design I: Conceptual Design,3
Major Requirements,orAE4331,Rotorcraft Design I: Conceptual Design,3
Major Requirements,AE4312,Aircraft Design II: Preliminary Design,3
Major Requirements,orAE4322,Space System Design II: Mission Design,3
Major Requirements,orAE4332,Rotorcraft Design II: Preliminary Design,3
Major Requirements,AE4531,Aircraft Flight Dynamics,3
Major Requirements,orAE4532,Spacecraft Flight Dynamics,3
Major Requirements,AE4451,Jet and Rocket Propulsion,3
Major Requirements,AE4610,Dynamics and Control Laboratory,2
Major Requirements,AE Options,SELECT,6
Non-AE Required Courses,ME1670,Introduction to Engineering Graphics and Design,3
Non-AE Required Courses,ECE3710,Circuits and Electronics,2
Non-AE Required Courses,ECE3741,Instrumentation and Electronics Lab,1
Non-AE Required Courses,Math Option,SELECT,3
Free Electives,Free Electives,SELECT,9
Free Electives,Total Credit Hours,131
