Category,Course Code,Course Name,Credits
Wellness Requirement,APPH1040,Scientific Foundations of Health,2
Wellness Requirement,orAPPH1050,The Science of Physical Activity and Health,2
Wellness Requirement,orAPPH1060,Flourishing: Strategies for Well-being and Resilience,2
Institutional Priority,CS1301,Introduction to Computing,3
Institutional Priority,orCS1315,Introduction to Media Computation,3
Institutional Priority,orCS1371,Computing for Engineers,3
Mathematics and Quantitative Skills,MATH1552,Integral Calculus,4
Political Science and U.S. History,Select one of the following:,SELECT,3
Political Science and U.S. History,HIST2111,The United States to 1877,3
Political Science and U.S. History,HIST2112,The United States since 1877,3
Political Science and U.S. History,INTA1200,American Government in Comparative Perspective,3
Political Science and U.S. History,POL1101,Government of the United States,3
Political Science and U.S. History,PUBP3000,American Constitutional Issues,3
"Arts, Humanities, and Ethics",Any HUM,SELECT,6
Communicating in Writing,ENGL1101,English Composition I,3
Communicating in Writing,ENGL1102,English Composition II,3
"Technology, Mathematics, and Sciences",PHYS2211,Introductory Physics I,4
"Technology, Mathematics, and Sciences",PHYS2212,Introductory Physics II,4
"Technology, Mathematics, and Sciences",MATH1551,Differential Calculus,2
"Technology, Mathematics, and Sciences",MATH1553,Introduction to Linear Algebra,2
Social Sciences,Any SS,SELECT,9
Field of Study,CHEM1211K,Chemical Principles I,4
Field of Study,CHEM1212K,Chemical Principles II,4
Field of Study,CHEM2380,Synthesis Laboratory I,2
Field of Study,MATH2551,Multivariable Calculus,4
Field of Study,BIOS1107&1107L,Biological Principlesand Biological Principles Laboratory,4
Major Requirements,CHEM2216&2216L,Quantitative Chemical Analysisand Quantitative Chemical Analysis Laboratory,4
Major Requirements,orCHEM2214,Quantitative Chemical Analysis,4
Major Requirements,CHEM2311,Organic Chemistry I,3
Major Requirements,CHEM2312,Organic Chemistry II,3
Major Requirements,orCHEM2313,Organic and Bioorganic Chemistry,3
Major Requirements,CHEM3216&3216L,Analytical Chemistry Lectureand Analytical Chemistry Laboratory,5
Major Requirements,orCHEM3211,Analytical Chemistry,5
Major Requirements,CHEM3371,Organic Chemistry Laboratory,2
Major Requirements,CHEM3411,Physical Chemistry I,3
Major Requirements,CHEM4511,Biochemistry I,3
Major Requirements,orCHEM3521,Biochemistry I,3
Major Requirements,CHEM4512,Biochemistry II,3
Major Requirements,orCHEM3522,Biochemistry II,3
Major Requirements,CHEM4521,Biophysical Chemistry,3
Major Requirements,CHEM4581,Biochemistry Laboratory I,3
Major Requirements,CHEM4582,Biochemistry Laboratory II,3
Major Requirements,CHEM4601,Chemistry Seminar,2
Biology Electives 2,BIOS2600,Genetics,3
Biology Electives 2,BIOS3450,Cell and Molecular Biology,3
Biology Electives 2,Select one of the following:,SELECT,3
Biology Electives 2,BIOS3380,Microbiology,3
Biology Electives 2,BIOS3450,Cell and Molecular Biology,3
Biology Electives 2,BIOS4015,Cancer Biology and Biotechnology,3
Biology Electives 2,BIOS4340,Medical Microbiology,3
Biology Electives 2,BIOS4401,Experimental Design and Statistical Methods in Biological Sciences,3
Biology Electives 2,BIOS4418,Microbial Physiology,3
Biology Electives 2,BIOS4464,Developmental Biology,3
Biology Electives 2,BIOS4570,Immunology,3
Biology Electives 2,BIOS4607,"Molecular Biology of Microbes: Disease, Nature, and Biotechnology",3
Biology Electives 2,BIOS4668,Eukaryotic Molecular Genetics,3
Biology Electives 2,CHEM4765,"Drug Design, Development, and Delivery",3
Free Electives,Free Electives,SELECT,13
Free Electives,Total Credit Hours,122
