Category,Course Code,Course Name,Credits
Wellness Requirement,APPH1040,Scientific Foundations of Health,2
Wellness Requirement,orAPPH1050,The Science of Physical Activity and Health,2
Wellness Requirement,orAPPH1060,Flourishing: Strategies for Well-being and Resilience,2
Institutional Priority,CS1301,Introduction to Computing,3
Institutional Priority,orCS1315,Introduction to Media Computation,3
Institutional Priority,orCS1371,Computing for Engineers,3
Mathematics and Quantitative Skills,MATH1552,Integral Calculus,4
Political Science and U.S. History,HIST2111,The United States to 1877,3
Political Science and U.S. History,orHIST2112,The United States since 1877,3
Political Science and U.S. History,orINTA1200,American Government in Comparative Perspective,3
Political Science and U.S. History,orPOL1101,Government of the United States,3
Political Science and U.S. History,orPUBP3000,American Constitutional Issues,3
"Arts, Humanities, and Ethics",Any HUM,SELECT,6
Communicating in Writing,ENGL1101,English Composition I,3
Communicating in Writing,ENGL1102,English Composition II,3
"Technology, Mathematics, and Sciences",PHYS2211,Introductory Physics I,4
"Technology, Mathematics, and Sciences",PHYS2212,Introductory Physics II,4
"Technology, Mathematics, and Sciences",MATH1551,Differential Calculus,2
"Technology, Mathematics, and Sciences",MATH1553,Introduction to Linear Algebra,2
Social Sciences,Any SS,SELECT,9
Field of Study,CHEM1211K,Chemical Principles I,4
Field of Study,CHEM1212K,Chemical Principles II,4
Field of Study,CHEM2380,Synthesis Laboratory I,2
Field of Study,BIOS1107&1107L,Biological Principlesand Biological Principles Laboratory,4
Field of Study,BIOS1108&1108L,Organismal Biologyand Organismal Biology Laboratory,4
Major Requirements,CHEM2216&2216L,Quantitative Chemical Analysisand Quantitative Chemical Analysis Laboratory,4
Major Requirements,orCHEM2214,Quantitative Chemical Analysis,4
Major Requirements,CHEM2311,Organic Chemistry I,3
Major Requirements,CHEM2312,Organic Chemistry II,3
Major Requirements,orCHEM2313,Organic and Bioorganic Chemistry,3
Major Requirements,CHEM3216&3216L,Analytical Chemistry Lectureand Analytical Chemistry Laboratory,5
Major Requirements,orCHEM3211,Analytical Chemistry,5
Major Requirements,CHEM3371,Organic Chemistry Laboratory,2
Major Requirements,CHEM3411,Physical Chemistry I,3
Major Requirements,CHEM4511,Biochemistry I,3
Major Requirements,orCHEM3521,Biochemistry I,3
Major Requirements,CHEM4512,Biochemistry II,3
Major Requirements,orCHEM3522,Biochemistry II,3
Major Requirements,CHEM4581,Biochemistry Laboratory I,3
Major Requirements,CHEM4582,Biochemistry Laboratory II,3
Major Requirements,CHEM4601,Chemistry Seminar,2
Pre-Health Electives 4,Select 12 credits from the following:,SELECT,12
Pre-Health Electives 4,BIOS2600,Genetics,
Pre-Health Electives 4,BIOS2601,Genetics Laboratory,
Pre-Health Electives 4,BIOS2610&BIOS2611,Integrative Geneticsand Integrative Genetics Lab,
Pre-Health Electives 4,BIOS3000,Survey of Medicine,
Pre-Health Electives 4,BIOS3380,Microbiology,
Pre-Health Electives 4,BIOS3381,Microbiology Lab,
Pre-Health Electives 4,BIOS3450,Cell and Molecular Biology,
Pre-Health Electives 4,BIOS3451,Cell and Molecular Biology Lab,
Pre-Health Electives 4,BIOS3753,Human Anatomy,
Pre-Health Electives 4,BIOS3754,Laboratory in Human Anatomy,
Pre-Health Electives 4,BIOS3755,Human Physiology,
Pre-Health Electives 4,BIOS3756,Physiology Laboratory,
Pre-Health Electives 4,BIOS4012,Protein Biology,
Pre-Health Electives 4,BIOS4015,Cancer Biology and Biotechnology,
Pre-Health Electives 4,BIOS 4150/BIOL6150,Genomics and Applied Bioinformatics,
Pre-Health Electives 4,BIOS4200,Kinesiological Basis of Human Movement,
Pre-Health Electives 4,BIOS 4238/APPH6238,Ion Channels,
Pre-Health Electives 4,BIOS4340,Medical Microbiology,
Pre-Health Electives 4,BIOS4400,Human Neuroanatomy,
Pre-Health Electives 4,BIOS4401,Experimental Design and Statistical Methods in Biological Sciences,
Pre-Health Electives 4,BIOS4440,Human Pathology,
Pre-Health Electives 4,BIOS4464,Developmental Biology,
Pre-Health Electives 4,BIOS4471,Behavioral Biology,
Pre-Health Electives 4,BIOS4500,Drug Discovery,
Pre-Health Electives 4,BIOS 4510/BIOL8510,"Epigenetics,  Stem Cells, and Development",
Pre-Health Electives 4,BIOS4520,Health Genes Society,
Pre-Health Electives 4,BIOS 4530/BIOL8530,Human Evolutionary Genomics,
Pre-Health Electives 4,BIOS4545,Genetics of Complex Human Traits and Diseases,
Pre-Health Electives 4,BIOS 4560/BIOL8560,RNA Biology and Biotechnology,
Pre-Health Electives 4,BIOS4570,Immunology,
Pre-Health Electives 4,BIOS4744,Microbial Symbiosis & Microbiomes,
Pre-Health Electives 4,BIOS 4607/BIOL6607,"Molecular Biology of Microbes: Disease, Nature, and Biotechnology",
Pre-Health Electives 4,BMED3100,Systems Physiology,
Pre-Health Electives 4,BMED3600,Physiology of Cellular and Molecular Systems,
Pre-Health Electives 4,CHEM4521,Biophysical Chemistry,
Pre-Health Electives 4,CHEM4765,"Drug Design, Development, and Delivery",
Free Electives,Free Electives,SELECT,13
Free Electives,Total Credit Hours,122
