Category,Course Code,Course Name,Credits
Wellness Requirement,APPH1040,Scientific Foundations of Health,2
Wellness Requirement,orAPPH1050,The Science of Physical Activity and Health,2
Wellness Requirement,orAPPH1060,Flourishing: Strategies for Well-being and Resilience,2
Institutional Priority,CS1301,Introduction to Computing,3
Institutional Priority,orCS1315,Introduction to Media Computation,3
Mathematics and Quantitative Skills,MATH1552,Integral Calculus,4
Mathematics and Quantitative Skills,orMATH1712,Survey of Calculus,4
Political Science and U.S. History,HIST2111,The United States to 1877,3
Political Science and U.S. History,orHIST2112,The United States since 1877,3
Political Science and U.S. History,orINTA1200,American Government in Comparative Perspective,3
Political Science and U.S. History,orPOL1101,Government of the United States,3
Political Science and U.S. History,orPUBP3000,American Constitutional Issues,3
"Arts, Humanities, and Ethics",Any HUM,SELECT,6
Communicating in Writing,ENGL1101,English Composition I,3
Communicating in Writing,ENGL1102,English Composition II,3
"Technology, Mathematics, and Sciences",Lab Science,4
"Technology, Mathematics, and Sciences",Lab Science,4
"Technology, Mathematics, and Sciences",MATH1551&MATH1553,Differential Calculusand Introduction to Linear Algebra,4
"Technology, Mathematics, and Sciences",orMATH1711,Finite Mathematics,4
Social Sciences,ECON2105,Principles of Macroeconomics,3
Social Sciences,ECON2106,Principles of Microeconomics,3
Social Sciences,Any SS,SELECT,3
Field of Study,ACCT2101,Accounting I: Financial Accounting,3
Field of Study,ACCT2102,Accounting II: Managerial Accounting,3
Field of Study,MGT2106,"Legal, Social, Ethical Aspects of Business",3
Field of Study,MGT2210,Information Systems and Digital Transformation,3
Field of Study,MGT2250,Management Statistics,3
Field of Study,MGT2255,Quantitative Analysis for Business,3
Major Requirements,LMC3403,"Technical Communication, Theory and Practice",3
Major Requirements,MGT3062,Financial Management,3
Major Requirements,MGT3101,Organizational Behavior,3
Major Requirements,MGT3102,Managing Human Resources within a Regulatory Environment,3
Major Requirements,MGT3300,Marketing Management I,3
Major Requirements,MGT3501,Operations Management,3
Major Requirements,MGT3599,Career Development Workshop,1
Major Requirements,MGT3660,International Business,3
Major Requirements,MGT3659,Foundations of Strategy,3
Strategy and Innovation Concentration,Group A(all courses required):,
Strategy and Innovation Concentration,MGT3664,Corporate Strategy,3
Strategy and Innovation Concentration,MGT4196,Strategy Consulting Practicum,3
Strategy and Innovation Concentration,MGT4220,Integrative Management Experience,3
"Concentration electives: 1,2,59",Group B:,
"Concentration electives: 1,2,59",MGT3661,Advanced Concepts in International Business,
"Concentration electives: 1,2,59",MGT3662,Management in the Healthcare Sector,
"Concentration electives: 1,2,59",MGT3663,Technology Strategy,
"Concentration electives: 1,2,59",MGT4667,Strat Entrepreneurship,
"Concentration electives: 1,2,59",MGT4803,Special Topics in Management (Technology Innovation Lab),
"Concentration electives: 1,2,59",Group C:,
"Concentration electives: 1,2,59",MGT3510,Management of Technology,
"Concentration electives: 1,2,59",MGT3743,Analysis of Emerging Technologies,
"Concentration electives: 1,2,59",MGT3744,"Managing Product, Service & Technology Development",
"Concentration electives: 1,2,59",MGT4050,Business Analytics,
"Concentration electives: 1,2,59",MGT4072,Entrepreneurial Finance,
"Concentration electives: 1,2,59",MGT4341,Management of Healthcare Operations,
"Concentration electives: 1,2,59",MGT4369,Sustainable Business Consulting Practicum,
"Concentration electives: 1,2,59",MGT4670,Entrepreneurship,
Non-MGT Electives,Non-MGT Electives,6
Free Electives,Free Electives,SELECT,10
Free Electives,Total Credit Hours,122
