Category,Course Code,Course Name,Credits
Wellness Requirement,APPH1040,Scientific Foundations of Health,2
Wellness Requirement,orAPPH1050,The Science of Physical Activity and Health,2
Wellness Requirement,orAPPH1060,Flourishing: Strategies for Well-being and Resilience,2
Institutional Priority,CS1371,Computing for Engineers,3
Mathematics and Quantitative Skills,MATH1552,Integral Calculus,4
Political Science and U.S. History,HIST2111,The United States to 1877,3
Political Science and U.S. History,orHIST2112,The United States since 1877,3
Political Science and U.S. History,orINTA1200,American Government in Comparative Perspective,3
Political Science and U.S. History,orPOL1101,Government of the United States,3
Political Science and U.S. History,orPUBP3000,American Constitutional Issues,3
"Arts, Humanities, and Ethics",Any HUM,SELECT,6
Communicating in Writing,ENGL1101,English Composition I,3
Communicating in Writing,ENGL1102,English Composition II,3
"Technology, Mathematics, and Sciences",PHYS2211,Introductory Physics I,4
"Technology, Mathematics, and Sciences",PHYS2212,Introductory Physics II,4
"Technology, Mathematics, and Sciences",MATH1551,Differential Calculus,2
"Technology, Mathematics, and Sciences",MATH1553,Introduction to Linear Algebra,2
Social Sciences,Select one of the following:,SELECT,3
Social Sciences,ECON2100,Economic Analysis and Policy Problems,3
Social Sciences,ECON2101,The Global Economy,3
Social Sciences,ECON2105,Principles of Macroeconomics,3
Social Sciences,ECON2106,Principles of Microeconomics,3
Social Sciences,Any SS,SELECT,6
Field of Study,BIOS1107&1107L,Biological Principlesand Biological Principles Laboratory,4
Field of Study,CHEM1211K,Chemical Principles I,4
Field of Study,orCHEM1310,Principles of General Chemistry for Engineers,4
Field of Study,CHEM2380,Synthesis Laboratory I,2
Field of Study,MATH2551,Multivariable Calculus,4
Field of Study,MATH2552,Differential Equations,4
Major Requirements,CHBE2100,Chemical Process Principles,3
Major Requirements,CHBE2140,Chemical Engineering Thermodynamics,4
Major Requirements,CHBE3205,Fluid Mechanics,2
Major Requirements,CHBE3215,Heat & Mass Transfer,4
Major Requirements,CHBE3225,Separations Processes,3
Major Requirements,CHBE3300,Chemical Kinetics and Catalysis,2
Major Requirements,CHBE4200,Transport Phenomena/Unit Operations Laboratory,3
Major Requirements,CHBE4310,Bioprocess Engineering,3
Major Requirements,CHBE4320,Reactor Design,2
Major Requirements,CHBE4411,Process Dynamics and Control,3
Major Requirements,CHBE4412,Process Dynamics and Control Laboratory,1
Major Requirements,CHBE4510,Process and Product Design And Economics,2
Major Requirements,CHBE4515,Chemical Process Safety,1
Major Requirements,CHBE4530,Capstone ChBE Bio-Design,2
CHBE Electives,CHBE Electives,3
Biotechnology Electives,Biotechnology electives,3
Other Engineering and Science Requirements,BIOS3450,Cell and Molecular Biology,3
Other Engineering and Science Requirements,CHEM1212K,Chemical Principles II,4
Other Engineering and Science Requirements,CHEM2311,Organic Chemistry I,3
Other Engineering and Science Requirements,CHEM2312,Organic Chemistry II,3
Other Engineering and Science Requirements,orCHEM2313,Organic and Bioorganic Chemistry,3
Other Engineering and Science Requirements,CHEM3521,Biochemistry I,3
Other Engineering and Science Requirements,CHEM3522,Biochemistry II,3
Other Engineering and Science Requirements,MSE2001,Principles and Applications of Engineering Materials,3
Free Electives 7,Free Electives,SELECT,3
Free Electives 7,Total Credit Hours,129
