Category,Course Code,Course Name,Credits
Wellness Requirement,APPH1040,Scientific Foundations of Health,2
Wellness Requirement,orAPPH1050,The Science of Physical Activity and Health,2
Wellness Requirement,orAPPH1060,Flourishing: Strategies for Well-being and Resilience,2
Institutional Priority,CS1301,Introduction to Computing,3
Mathematics and Quantitative Skills,MATH1552,Integral Calculus,4
Political Science and U.S. History,HIST2111,The United States to 1877,3
Political Science and U.S. History,orHIST2112,The United States since 1877,3
Political Science and U.S. History,orINTA1200,American Government in Comparative Perspective,3
Political Science and U.S. History,orPOL1101,Government of the United States,3
Political Science and U.S. History,orPUBP3000,American Constitutional Issues,3
"Arts, Humanities, and Ethics",Any HUM,SELECT,6
Communicating in Writing,ENGL1101,English Composition I,3
Communicating in Writing,ENGL1102,English Composition II,3
"Technology, Mathematics, and Sciences",PHYS2211,Introductory Physics I,4
"Technology, Mathematics, and Sciences",PHYS2212,Introductory Physics II,4
"Technology, Mathematics, and Sciences",MATH1551,Differential Calculus,2
"Technology, Mathematics, and Sciences",MATH1553,Introduction to Linear Algebra,2
Social Sciences,Any SS,SELECT,9
Field of Study,CHEM1211K,Chemical Principles I,4
Field of Study,CHEM1212K,Chemical Principles II,4
Field of Study,CHEM2380,Synthesis Laboratory I,2
Field of Study,MATH2551,Multivariable Calculus,4
Field of Study,BIOS1107&1107L,Biological Principlesand Biological Principles Laboratory,4
Major Requirements,CHEM2216&2216L,Quantitative Chemical Analysisand Quantitative Chemical Analysis Laboratory,4
Major Requirements,orCHEM2214,Quantitative Chemical Analysis,4
Major Requirements,CHEM2311,Organic Chemistry I,3
Major Requirements,CHEM2312,Organic Chemistry II,3
Major Requirements,orCHEM2313,Organic and Bioorganic Chemistry,3
Major Requirements,CHEM2601,Professional Skills for Chemists and Biochemists,1
Major Requirements,CHEM3111,Inorganic Chemistry,3
Major Requirements,CHEM3216&3216L,Analytical Chemistry Lectureand Analytical Chemistry Laboratory,5
Major Requirements,orCHEM3211,Analytical Chemistry,5
Major Requirements,CHEM3380,Synthesis Laboratory II,3
Major Requirements,CHEM3411,Physical Chemistry I,3
Major Requirements,CHEM3412,Physical Chemistry II,3
Major Requirements,CHEM3481,Physical Chemistry Laboratory I,2
Additional Major Requirements,Research Experience,2
Additional Major Requirements,CHEM4695,Undergraduate Internship (Undergraduate Internship for Academic Credit),
Additional Major Requirements,CHEM4699,Undergraduate Research,
Additional Major Requirements,CHEM3511,Survey of Biochemistry,3
Additional Major Requirements,orCHEM4511,Biochemistry I,3
Additional Major Requirements,orCHEM4512,Biochemistry II,3
Additional Major Requirements,orCHEM3521,Biochemistry I,3
Additional Major Requirements,orCHEM3522,Biochemistry II,3
Additional Major Requirements,Upper level Chemistry Electives,6
Additional Major Requirements,3000-level Technical Electives,6
Free Electives,Free Electives,SELECT,12
Free Electives,Total Credit Hours,122
