Category,Course Code,Course Name,Credits
Wellness Requirement,APPH1040,Scientific Foundations of Health,2
Wellness Requirement,orAPPH1050,The Science of Physical Activity and Health,2
Wellness Requirement,orAPPH1060,Flourishing: Strategies for Well-being and Resilience,2
Institutional Priority,CS1301,Introduction to Computing,3
Mathematics and Quantitative Skills,MATH1552,Integral Calculus,4
Political Science and U.S. History,HIST2111,The United States to 1877,3
Political Science and U.S. History,orHIST2112,The United States since 1877,3
Political Science and U.S. History,orINTA1200,American Government in Comparative Perspective,3
Political Science and U.S. History,orPOL1101,Government of the United States,3
Political Science and U.S. History,orPUBP3000,American Constitutional Issues,3
"Arts, Humanities, and Ethics",Any HUM,SELECT,6
Communicating in Writing,ENGL1101,English Composition I,3
Communicating in Writing,ENGL1102,English Composition II,3
"Technology, Mathematics, and Sciences",PHYS2211,Introductory Physics I,4
"Technology, Mathematics, and Sciences",PHYS2212,Introductory Physics II,4
"Technology, Mathematics, and Sciences",MATH1551,Differential Calculus,2
"Technology, Mathematics, and Sciences",MATH1553,Introduction to Linear Algebra,2
Social Sciences,Any SS,SELECT,9
Field of Study,CHEM1211K,Chemical Principles I,4
Field of Study,CHEM1212K,Chemical Principles II,4
Field of Study,CHEM2380,Synthesis Laboratory I,2
Field of Study,BIOS1107&1107L,Biological Principlesand Biological Principles Laboratory,4
Field of Study,BIOS1108&1108L,Organismal Biologyand Organismal Biology Laboratory,4
Major Requirements,CHEM2216&2216L,Quantitative Chemical Analysisand Quantitative Chemical Analysis Laboratory,4
Major Requirements,orCHEM2214,Quantitative Chemical Analysis,4
Major Requirements,CHEM2311,Organic Chemistry I,3
Major Requirements,CHEM2312,Organic Chemistry II,3
Major Requirements,orCHEM2312,Organic Chemistry II,3
Major Requirements,CHEM2601,Professional Skills for Chemists and Biochemists,1
Major Requirements,CHEM3111,Inorganic Chemistry,3
Major Requirements,CHEM3216&3216L,Analytical Chemistry Lectureand Analytical Chemistry Laboratory,5
Major Requirements,orCHEM3211,Analytical Chemistry,5
Major Requirements,CHEM3411,Physical Chemistry I,3
Major Requirements,CHEM3412,Physical Chemistry II,3
Major Requirements,CHEM3511,Survey of Biochemistry,3
Major Requirements,orCHEM4511,Biochemistry I,3
Major Requirements,orCHEM3521,Biochemistry I,3
Pre-Health Option,Lab Electives:,6
Pre-Health Option,CHEM3380,Synthesis Laboratory II,
Pre-Health Option,CHEM3481,Physical Chemistry Laboratory I,
Pre-Health Option,CHEM4699,Undergraduate Research,
Pre-Health Option,orCHEM4694,Intern Assistantship (Undergraduate Internship for Pay),-1
Pre-Health Option,orCHEM4695,Undergraduate Internship (Undergraduate Internship for Academic Credit),-1
Pre-Health Option,orCHEM4698,Undergraduate Research Assistantship,-1
Pre-Health Option,Technical electives,3
Pre-Health Option,Pre-Health Electives:,12
Pre-Health Option,BIOS2600,Genetics,
Pre-Health Option,BIOS2601,Genetics Laboratory,
Pre-Health Option,BIOS2610&BIOS2611,Integrative Geneticsand Integrative Genetics Lab,
Pre-Health Option,BIOS3000,Survey of Medicine,
Pre-Health Option,BIOS3380,Microbiology,
Pre-Health Option,BIOS3381,Microbiology Lab,
Pre-Health Option,BIOS3450,Cell and Molecular Biology,
Pre-Health Option,BIOS3451,Cell and Molecular Biology Lab,
Pre-Health Option,BIOS3753,Human Anatomy,
Pre-Health Option,BIOS3754,Laboratory in Human Anatomy,
Pre-Health Option,BIOS3755,Human Physiology,
Pre-Health Option,BIOS3756,Physiology Laboratory,
Pre-Health Option,BIOS4012,Protein Biology,
Pre-Health Option,BIOS4015,Cancer Biology and Biotechnology,
Pre-Health Option,BIOS 4150/BIOL6150,Genomics and Applied Bioinformatics,
Pre-Health Option,BIOS4200,Kinesiological Basis of Human Movement,
Pre-Health Option,BIOS 4238/APPH6238,Ion Channels,
Pre-Health Option,BIOS4340,Medical Microbiology,
Pre-Health Option,BIOS4400,Human Neuroanatomy,
Pre-Health Option,BIOS4401,Experimental Design and Statistical Methods in Biological Sciences,
Pre-Health Option,BIOS4440,Human Pathology,
Pre-Health Option,BIOS4464,Developmental Biology,
Pre-Health Option,BIOS4471,Behavioral Biology,
Pre-Health Option,BIOS4500,Drug Discovery,
Pre-Health Option,BIOS 4510/BIOL8510,"Epigenetics,  Stem Cells, and Development",
Pre-Health Option,BIOS4520,Health Genes Society,
Pre-Health Option,BIOS 4530/BIOL8530,Human Evolutionary Genomics,
Pre-Health Option,BIOS 4560/BIOL8560,RNA Biology and Biotechnology,
Pre-Health Option,BIOS4545,Genetics of Complex Human Traits and Diseases,
Pre-Health Option,BIOS4570,Immunology,
Pre-Health Option,BIOS 4607/BIOL6607,"Molecular Biology of Microbes: Disease, Nature, and Biotechnology",
Pre-Health Option,BIOS4651,Bioethics,
Pre-Health Option,BMED3100,Systems Physiology,
Pre-Health Option,BMED3600,Physiology of Cellular and Molecular Systems,
Pre-Health Option,CHEM4521,Biophysical Chemistry,
Pre-Health Option,CHEM4765,"Drug Design, Development, and Delivery",
Free Electives,Free Electives,SELECT,10
Free Electives,Total Credit Hours,122
