Category,Course Code,Course Name,Credits
Wellness Requirement,APPH1040,Scientific Foundations of Health,2
Wellness Requirement,orAPPH1050,The Science of Physical Activity and Health,2
Wellness Requirement,orAPPH1060,Flourishing: Strategies for Well-being and Resilience,2
Institutional Priority,CS1371,Computing for Engineers,3
Mathematics and Quantitative Skills,MATH1552,Integral Calculus,4
Political Science and U.S. History,HIST2111,The United States to 1877,3
Political Science and U.S. History,orHIST2112,The United States since 1877,3
Political Science and U.S. History,orINTA1200,American Government in Comparative Perspective,3
Political Science and U.S. History,orPOL1101,Government of the United States,3
Political Science and U.S. History,orPUBP3000,American Constitutional Issues,3
Communicating in Writing,ENGL1101,English Composition I,3
Communicating in Writing,ENGL1102,English Composition II,3
"Arts, Humanities, and Ethics",Any HUM,SELECT,6
"Technology, Mathematics, and Sciences",PHYS2211,Introductory Physics I,4
"Technology, Mathematics, and Sciences",PHYS2212,Introductory Physics II,4
"Technology, Mathematics, and Sciences",MATH1551,Differential Calculus,2
"Technology, Mathematics, and Sciences",MATH1553,Introduction to Linear Algebra,2
"Technology, Mathematics, and Sciences",orMATH1554,Linear Algebra,2
"Technology, Mathematics, and Sciences",orMATH1564,Linear Algebra with Abstract Vector Spaces,2
Social Sciences,Select one of the following:,SELECT,3
Social Sciences,ECON2100,Economic Analysis and Policy Problems,3
Social Sciences,ECON2101,The Global Economy,3
Social Sciences,ECON2105,Principles of Macroeconomics,3
Social Sciences,ECON2106,Principles of Microeconomics,3
Social Sciences,Any SS,SELECT,6
Field of Study,COE2001,Statics,2
Field of Study,MATH2551,Multivariable Calculus,4
Field of Study,MATH2552,Differential Equations,4
Field of Study,CHEM1310,Principles of General Chemistry for Engineers,4
Field of Study,Select one of the following:,SELECT,4
Field of Study,BIOS1107&1107L,Biological Principlesand Biological Principles Laboratory,4
Field of Study,BIOS1108&1108L,Organismal Biologyand Organismal Biology Laboratory,4
Field of Study,EAS2600,Earth Processes,4
Major Requirements,Ethics Requirement,
Major Requirements,CEE1070,Engineering Graphics for Civil and Environmental Engineering,1
Major Requirements,CEE1090,Exploring Civil and Environmental Engineering,2
Major Requirements,CEE2040,Dynamics,2
Major Requirements,CEE2090,Civil and Environmental Engineering Systems,3
Major Requirements,CEE2300,Environmental Engineering Principles,3
Major Requirements,CEE3020,Civil Engineering Materials,3
Major Requirements,CEE3040,Fluid Mechanics,3
Major Requirements,CEE3090,Data Analytics in Civil and Environmental Engineering,3
Major Requirements,Select one of the following:,SELECT,3
Major Requirements,CEE3770,Statistics and Applications,3
Major Requirements,ISYE3770,Statistics and Applications,3
Major Requirements,MATH3670,Probability and Statistics with Applications,3
Major Requirements,CEE4090,Capstone Design,3
College of Engineering Requirements,COE3001,Mechanics of Deformable Bodies,3
"Structural Engineering, Mechanics, and Materials Concentration",CEE3051,Introduction to Structural Engineering,3
"Structural Engineering, Mechanics, and Materials Concentration",CEE3055,Structural Analysis,3
"Structural Engineering, Mechanics, and Materials Concentration",Concentration electives,
"Structural Engineering, Mechanics, and Materials Concentration",Select one of the following:,SELECT,3
"Structural Engineering, Mechanics, and Materials Concentration",CEE4510,Structural Steel Design,3
"Structural Engineering, Mechanics, and Materials Concentration",CEE4520,Reinforced Concrete Design,3
"Structural Engineering, Mechanics, and Materials Concentration",CEE4530,Timber and Masonry Design,3
"Structural Engineering, Mechanics, and Materials Concentration",Select one of the following:,SELECT,3
"Structural Engineering, Mechanics, and Materials Concentration",CEE4406,Applied Geotechnics,3
"Structural Engineering, Mechanics, and Materials Concentration",CEE4510,Structural Steel Design,3
"Structural Engineering, Mechanics, and Materials Concentration",CEE4520,Reinforced Concrete Design,3
"Structural Engineering, Mechanics, and Materials Concentration",CEE4530,Timber and Masonry Design,3
"Structural Engineering, Mechanics, and Materials Concentration",CEE4540,Infrastructure Rehabilitation,3
"Structural Engineering, Mechanics, and Materials Concentration",CEE4550,Structural Analysis II,3
"Structural Engineering, Mechanics, and Materials Concentration",CEE4551,Historic Structures,3
"Structural Engineering, Mechanics, and Materials Concentration",CEE4552,Introduction to Finite Element Methods,3
"Structural Engineering, Mechanics, and Materials Concentration",CEE4560,Origami Engineering,3
"Structural Engineering, Mechanics, and Materials Concentration",CEE4791,Mechanical Behavior of Composites,3
"Structural Engineering, Mechanics, and Materials Concentration",CEE4793,Composite Materials and Processes,3
CE Breadth Electives,Select two of the following:,SELECT,6
CE Breadth Electives,CEE3051,Introduction to Structural Engineering,
CE Breadth Electives,CEE4100,Construction Engineering and Management,
CE Breadth Electives,CEE4200,Hydraulic Engineering,
CE Breadth Electives,CEE4300,Environmental Engineering Systems,
CE Breadth Electives,CEE3400,Introduction to Geotechnical Engineering,
CE Breadth Electives,CEE4600,"Transportation Planning, Operations, and Design",
CE Breadth Electives,CEE4200,Hydraulic Engineering,3
CE Breadth Electives,orCEE3400,Introduction to Geotechnical Engineering,3
CE Technical Electives,CE Electives,9
Approved Electives,Approved Electives,6
Approved Electives,Total Credit Hours,128
