Category,Course Code,Course Name,Credits
Wellness Requirement,APPH1040,Scientific Foundations of Health,2
Wellness Requirement,orAPPH1050,The Science of Physical Activity and Health,2
Wellness Requirement,orAPPH1060,Flourishing: Strategies for Well-being and Resilience,2
Institutional Priority,CS1301,Introduction to Computing,3
Institutional Priority,orCS1315,Introduction to Media Computation,3
Mathematics and Quantitative Skills,MATH1552,Integral Calculus,4
Political Science and U.S. History,HIST2111,The United States to 1877,3
Political Science and U.S. History,orHIST2112,The United States since 1877,3
Political Science and U.S. History,orINTA1200,American Government in Comparative Perspective,3
Political Science and U.S. History,orPOL1101,Government of the United States,3
Political Science and U.S. History,orPUBP3000,American Constitutional Issues,3
"Arts, Humanities, and Ethics",Any HUM,SELECT,3
"Arts, Humanities, and Ethics",Any LMC HUM,SELECT,3
Communicating in Writing,ENGL1101,English Composition I,3
Communicating in Writing,ENGL1102,English Composition II,3
"Technology, Mathematics, and Sciences",Lab Science,8
"Technology, Mathematics, and Sciences",MATH1551,Differential Calculus,2
"Technology, Mathematics, and Sciences",MATH1554,Linear Algebra,4
"Technology, Mathematics, and Sciences",orMATH1564,Linear Algebra with Abstract Vector Spaces,4
Social Sciences,PSYC1101,General Psychology,3
Social Sciences,Any SS,SELECT,6
Field of Study,CS1331,Introduction to Object Oriented Programming,3
Field of Study,CS1332,Data Structures and Algorithms for Applications,3
Field of Study,CS2050,Introduction to Discrete Mathematics for Computer Science,3
Field of Study,CS2340,Objects and Design,3
Field of Study,LMC2700,Introduction to Computational Media,3
Field of Study,MATH2550,Introduction to Multivariable Calculus,2
Junior Design Options (Capstone),Junior Design Option,SELECT,6
CS Intelligence Requirements,CS2110,Computer Organization and Programming,4
CS Intelligence Requirements,CS4001,"Computing, Society, and Professionalism",3
CS Intelligence Requirements,orCS4726,"Privacy, Technology, Policy, and Law",3
CS Intelligence Requirements,orSLS3110,Technology and Sustainable Community Development,3
CS Intelligence Requirements,CS3510,Design and Analysis of Algorithms,3
CS Intelligence Requirements,CS3600,Introduction to Artificial Intelligence,3
CS Intelligence Requirements,Computational Complexity (select one):,3
CS Intelligence Requirements,CS4510,Automata and Complexity Theory,
CS Intelligence Requirements,CS3240,Languages and Computation,
CS Intelligence Requirements,Emodied Intelligence (select one):,3
CS Intelligence Requirements,CS3630,Introduction to Perception and Robotics,
CS Intelligence Requirements,CS3790,Introduction to Cognitive Science,
CS Intelligence Requirements,PSYC3040,Sensation and Perception,
CS Intelligence Requirements,Approaches to Intelligence (select two):,6
CS Intelligence Requirements,CS4495,Computer Vision,
CS Intelligence Requirements,CS4635,Knowledge-Based Artificial Intelligence,
CS Intelligence Requirements,CS4641,Machine Learning,
CS Intelligence Requirements,CS4646,Machine Learning for Trading,
CS Intelligence Requirements,CS4649,Robot Intelli Planning,
CS Intelligence Requirements,CS4650,Natural Language Understanding,
CS Intelligence Requirements,CS4731,Game AI,
Music Technology Requirements,MUSI2010,Fundamentals of Musicianship I,3
Music Technology Requirements,MUSI2011,Fundamentals of Musicianship II,3
Music Technology Requirements,MUSI2525,Introduction Audio Technology I,3
Music Technology Requirements,MUSI2526,Introduction to Audio Technology II,3
Music Technology Requirements,MUSI3770,Project Studio: Technology,4
Music Technology Requirements,Music Thread Electives,9
Music Technology Requirements,MUSI4450,Integrating Music Into Multimedia,
Music Technology Requirements,MUSI4455,Streaming Media,
Music Technology Requirements,MUSI4456,Music Technology History and Repertoire,
Music Technology Requirements,MUSI4457,Computational Music and Audio Analysis,
Music Technology Requirements,MUSI4458,Computer Music Composition,
Music Technology Requirements,MUSI4459,Digital Signal Processing for Music,
Music Technology Requirements,MUSI4630,Music Recording and Mixing,
Music Technology Requirements,MUSI4650,Music and Sound Design,
Music Technology Requirements,MUSI4670,Music Interface Design,
Music Technology Requirements,MUSI4677,Music Perception and Cognition,
Music Technology Requirements,Ensemble,
Free electives,Free electives,SELECT,2
Free electives,Total Credit Hours,122
