Category,Course Code,Course Name,Credits
Wellness Requirement,APPH1040,Scientific Foundations of Health,2
Wellness Requirement,orAPPH1050,The Science of Physical Activity and Health,2
Wellness Requirement,orAPPH1060,Flourishing: Strategies for Well-being and Resilience,2
Institutional Priority,CS1301,Introduction to Computing,3
Mathematics and Quantitative Skills,MATH1552,Integral Calculus,4
Political Science and U.S. History,HIST2111,The United States to 1877,3
Political Science and U.S. History,orHIST2112,The United States since 1877,3
Political Science and U.S. History,orINTA1200,American Government in Comparative Perspective,3
Political Science and U.S. History,orPOL1101,Government of the United States,3
Political Science and U.S. History,orPUBP3000,American Constitutional Issues,3
"Arts, Humanities, and Ethics",Any HUM,SELECT,3
"Arts, Humanities, and Ethics",Any LMC HUM,SELECT,3
Communicating in Writing,ENGL1101,English Composition I,3
Communicating in Writing,ENGL1102,English Composition II,3
"Technology, Mathematics, and Sciences",Lab Science,8
"Technology, Mathematics, and Sciences",MATH1551,Differential Calculus,2
"Technology, Mathematics, and Sciences",MATH1554,Linear Algebra,4
"Technology, Mathematics, and Sciences",orMATH1564,Linear Algebra with Abstract Vector Spaces,4
Social Sciences,Any SS,SELECT,9
Field of Study,CS1331,Introduction to Object Oriented Programming,3
Field of Study,CS1332,Data Structures and Algorithms for Applications,3
Field of Study,CS2050,Introduction to Discrete Mathematics for Computer Science,3
Field of Study,CS2340,Objects and Design,3
Field of Study,LMC2700,Introduction to Computational Media,3
Field of Study,MATH2550,Introduction to Multivariable Calculus,2
Junior Design Options (Capstone),Junior Design Option,SELECT,6
Media Requirements,CS2261,Media Device Architectures,4
Media Requirements,CS3451,Computer Graphics,3
Media Requirements,CS4001,"Computing, Society, and Professionalism",3
Media Requirements,orCS4726,"Privacy, Technology, Policy, and Law",3
Media Requirements,orSLS3110,Technology and Sustainable Community Development,3
Media Requirements,Media (select two):,6
Media Requirements,CS4455,Video Game Design and Programming,
Media Requirements,CS4460,Introduction to Information Visualization,
Media Requirements,CS4464,Computational Journalism,
Media Requirements,CS4475,Computational Photography,
Media Requirements,CS4480,Digital Video Special Effects,
Media Requirements,CS4496,Computer Animation,
Media Requirements,CS4590,Principles and Applications of Computer Audio,
Music Technology Requirements,MUSI2010,Fundamentals of Musicianship I,3
Music Technology Requirements,MUSI2011,Fundamentals of Musicianship II,3
Music Technology Requirements,MUSI2525,Introduction Audio Technology I,3
Music Technology Requirements,MUSI2526,Introduction to Audio Technology II,3
Music Technology Requirements,MUSI3770,Project Studio: Technology,4
Music Technology Requirements,Music Thread Electives,12
Music Technology Requirements,MUSI4450,Integrating Music Into Multimedia,
Music Technology Requirements,MUSI4455,Streaming Media,
Music Technology Requirements,MUSI4456,Music Technology History and Repertoire,
Music Technology Requirements,MUSI4457,Computational Music and Audio Analysis,
Music Technology Requirements,MUSI4458,Computer Music Composition,
Music Technology Requirements,MUSI4459,Digital Signal Processing for Music,
Music Technology Requirements,MUSI4630,Music Recording and Mixing,
Music Technology Requirements,MUSI4650,Music and Sound Design,
Music Technology Requirements,MUSI4670,Music Interface Design,
Music Technology Requirements,MUSI4677,Music Perception and Cognition,
Music Technology Requirements,Ensemble,
Free Electives,Free Electives,SELECT,8
Free Electives,Total Credit Hours,122
