Category,Course Code,Course Name,Credits
Wellness Requirement,APPH1040,Scientific Foundations of Health,2
Wellness Requirement,orAPPH1050,The Science of Physical Activity and Health,2
Wellness Requirement,orAPPH1060,Flourishing: Strategies for Well-being and Resilience,2
Institutional Priority,CS1301,Introduction to Computing,3
Mathematics and Quantitative Skills,MATH1552,Integral Calculus,4
Political Science and U.S. History,HIST2111,The United States to 1877,3
Political Science and U.S. History,orHIST2112,The United States since 1877,3
Political Science and U.S. History,orINTA1200,American Government in Comparative Perspective,3
Political Science and U.S. History,orPOL1101,Government of the United States,3
Political Science and U.S. History,orPUBP3000,American Constitutional Issues,3
"Arts, Humanities, and Ethics",Any HUM,SELECT,6
Communicating in Writing,ENGL1101,English Composition I,3
Communicating in Writing,ENGL1102,English Composition II,3
"Technology, Mathematics, and Sciences",PHYS2211,Introductory Physics I,4
"Technology, Mathematics, and Sciences",PHYS2212,Introductory Physics II,4
"Technology, Mathematics, and Sciences",MATH1551,Differential Calculus,2
"Technology, Mathematics, and Sciences",MATH1554,Linear Algebra,4
Social Sciences,Choose one of the following:,3
Social Sciences,ECON2100,Economic Analysis and Policy Problems,
Social Sciences,ECON2101,The Global Economy,
Social Sciences,ECON2105,Principles of Macroeconomics,
Social Sciences,ECON2106,Principles of Microeconomics,
Social Sciences,Any SS,SELECT,6
Field of Study,ECE1100,ECE Discovery Studio,1
Field of Study,ECE2020,Digital System Design,3
Field of Study,ECE3005,Professional and Technical Communications for ECE,1
Field of Study,CS1331,Introduction to Object Oriented Programming,3
Field of Study,CS1332,Data Structures and Algorithms for Applications,3
Field of Study,CS2050,Introduction to Discrete Mathematics for Computer Science,3
Field of Study,orCS2051,Honors - Induction to Discrete Mathematics for Computer Science,3
Field of Study,MATH2550,Introduction to Multivariable Calculus,2
Field of Study,MATH2552,Differential Equations,4
Field of Study,CHEM1310,Principles of General Chemistry for Engineers,4
Field of Study,orCHEM1211K,Chemical Principles I,4
Major Requirements,Ethics,
Major Requirements,Probability/Statistics,3
Major Requirements,ECE2031,Digital Design Laboratory,2
Major Requirements,ECE2035,Programming for Hardware/Software Systems,4
Major Requirements,ECE2040,Circuit Analysis,3
Major Requirements,ECE3058,"Architecture, Systems, Concurrency, and Energy in Computation",4
"Cybersecurity 2,6,9",ECE4115,Introduction to Computer Security,4
"Cybersecurity 2,6,9",Select one of the following:,SELECT,3
"Cybersecurity 2,6,9",CS3251,Computer Networking I,3
"Cybersecurity 2,6,9",ECE3600,Computer Communications,3
"Cybersecurity 2,6,9",Select two of the following (Cybersecurity Topics):,SELECT,7
"Cybersecurity 2,6,9",ECE3170,Cryptographic Hardware for Embedded Systems,3
"Cybersecurity 2,6,9",ECE4112,Internetwork Security,3
"Cybersecurity 2,6,9",ECE4117,Introduction to Malware Reverse Engineering,3
"Cybersecurity 2,6,9",ECE4147,Adv Malware Analysis,3
"Cybersecurity 2,6,9",ECE4156,Hardware-Oriented Security and Trust,3
"Robotics & Autonomous Systems 2,6,9",ECE2026,Introduction to Signal Processing,3
"Robotics & Autonomous Systems 2,6,9",ECE3550,Feedback Control Systems,3
"Robotics & Autonomous Systems 2,6,9",ECE4550,Control System Design,4
"Robotics & Autonomous Systems 2,6,9",Select one of the following (Robotics & Autonomous Systems Topics):,SELECT,3
"Robotics & Autonomous Systems 2,6,9",ECE3084,Signals and Systems,3
"Robotics & Autonomous Systems 2,6,9",ECE4560,Introduction to Automation and Robotics,3
"Robotics & Autonomous Systems 2,6,9",ECE4570,System Theory for Communication and Control,3
"Robotics & Autonomous Systems 2,6,9",ECE4580,Computational Computer Vision,3
"Robotics & Autonomous Systems 2,6,9",Robotics & Autonomous Systems Electives,
"Robotics & Autonomous Systems 2,6,9",ECE 3000/4000-level Elective,3
Culminating Senior Design Options (Capstone),Culminating Senior Design,3
"Free Electives 3,79",Total Credit Hours,129
