Category,Course Code,Course Name,Credits
Wellness Requirement,APPH1040,Scientific Foundations of Health,2
Wellness Requirement,orAPPH1050,The Science of Physical Activity and Health,2
Wellness Requirement,orAPPH1060,Flourishing: Strategies for Well-being and Resilience,2
Institutional Priority,CS1301,Introduction to Computing,3
Mathematics and Quantitative Skills,MATH1552,Integral Calculus,4
Political Science and U.S. History,HIST2111,The United States to 1877,3
Political Science and U.S. History,orHIST2112,The United States since 1877,3
Political Science and U.S. History,orINTA1200,American Government in Comparative Perspective,3
Political Science and U.S. History,orPOL1101,Government of the United States,3
Political Science and U.S. History,orPUBP3000,American Constitutional Issues,3
"Arts, Humanities, and Ethics",Any HUM,SELECT,6
Communicating in Writing,ENGL1101,English Composition I,3
Communicating in Writing,ENGL1102,English Composition II,3
"Technology, Mathematics, and Sciences",PHYS2211,Introductory Physics I,4
"Technology, Mathematics, and Sciences",PHYS2212,Introductory Physics II,4
"Technology, Mathematics, and Sciences",MATH1551,Differential Calculus,2
"Technology, Mathematics, and Sciences",MATH1554,Linear Algebra,4
Social Sciences,Select one of the following:,SELECT,3
Social Sciences,ECON2100,Economic Analysis and Policy Problems,3
Social Sciences,ECON2101,The Global Economy,3
Social Sciences,ECON2105,Principles of Macroeconomics,3
Social Sciences,ECON2106,Principles of Microeconomics,3
Social Sciences,Any SS,SELECT,6
Field of Study,MATH2551,Multivariable Calculus,4
Field of Study,MATH2552,Differential Equations,4
Field of Study,CHEM1310,Principles of General Chemistry for Engineers,4
Field of Study,orCHEM1211K,Chemical Principles I,4
Field of Study,Science Elective,3
Field of Study,Probability/Statistics,3
Major Requirements,Ethics Requirement,,https://catalog.gatech.edu/academics/undergraduate/core-curriculum/ethics/#
Major Requirements,ECE1100,ECE Discovery Studio,1
Major Requirements,ECE2020,Digital System Design,3
Major Requirements,ECE2026,Introduction to Signal Processing,3
Major Requirements,ECE2031,Digital Design Laboratory,2
Major Requirements,ECE2035,Programming for Hardware/Software Systems,4
Major Requirements,orECE2036,Engineering Software Design,4
Major Requirements,ECE2040,Circuit Analysis,3
Major Requirements,ECE3005,Professional and Technical Communications for ECE,1
Major Requirements,ECE3025,Electromagnetics,3
Major Requirements,ECE3040,Microelectronic Circuits,4
Major Requirements,ECE3043,"Measurements, Circuits, and Microelectronics Laboratory",2
Bioengineering 10,Select one of the following:,SELECT,3
Bioengineering 10,ECE4781,Biomedical Instrumentation,3
Bioengineering 10,ECE4782,Biosystems Analysis,3
Bioengineering 10,ECE4784,Engineering Electrophysiology,3
Bioengineering 10,Select two of the following:,SELECT,6
Bioengineering 10,ECE3084,Signals and Systems,3
Bioengineering 10,ECE4350,Electromagnetic and Microwave Applications,3
Bioengineering 10,ECE4370,Antenna Engineering,3
Bioengineering 10,ECE4435,Operational Amplifier Design,3
Bioengineering 10,ECE4781,Biomedical Instrumentation,3
Bioengineering 10,ECE4782,Biosystems Analysis,3
Bioengineering 10,ECE4784,Engineering Electrophysiology,3
Bioengineering 10,Bioengineering Electives,
Bioengineering 10,ECE 3000/4000-level Elective,3
"Electric Energy Systems 2,10",ECE3072,Electrical Energy Systems,3
"Electric Energy Systems 2,10",ECE3300,Electromechanical and Electromagnetic Energy Conversion,3
"Electric Energy Systems 2,10",Select one of the following:,SELECT,3
"Electric Energy Systems 2,10",ECE4320,Power System Analysis and Control,3
"Electric Energy Systems 2,10",ECE4321,Power System Engineering,3
"Electric Energy Systems 2,10",ECE4325,Electric Power Quality,3
"Electric Energy Systems 2,10",ECE4330,Power Electronics,3
"Electric Energy Systems 2,10",ECE4335,Electric Machinery Analysis,3
"Electric Energy Systems 2,10",Electrica Energy Systems Electives,
"Electric Energy Systems 2,10",ECE 3000/4000-level Elective,3
Culminating Senior Design Options (Capstone),Culminating Senior Design,3
"Free Electives 5,911",Total Credit Hours,129
