Category,Course Code,Course Name,Credits
Wellness,APPH1040,Scientific Foundations of Health,2
Wellness,orAPPH1050,The Science of Physical Activity and Health,2
Wellness,orAPPH1060,Flourishing: Strategies for Well-being and Resilience,2
Core A - Essential Skills,ENGL1101,English Composition I,3
Core A - Essential Skills,ENGL1102,English Composition II,3
Core A - Essential Skills,MATH1712,Survey of Calculus,4
Core A - Essential Skills,orMATH1552,Integral Calculus,4
Core B - Institutional Options,CS1315,Introduction to Media Computation,3
Core B - Institutional Options,orCS1301,Introduction to Computing,3
Core C - Humanities,Modern Languages,6
"Core D - Science, Math, & Technology",Lab Science,4
"Core D - Science, Math, & Technology",Lab Science,4
"Core D - Science, Math, & Technology",MATH1711,Finite Mathematics,4
"Core D - Science, Math, & Technology",orMATH1551&MATH1553,Differential Calculusand Introduction to Linear Algebra,4
Core E - Social Sciences,Select one of the following:,SELECT,3
Core E - Social Sciences,HIST2111,The United States to 1877,3
Core E - Social Sciences,HIST2112,The United States since 1877,3
Core E - Social Sciences,INTA1200,American Government in Comparative Perspective,3
Core E - Social Sciences,POL1101,Government of the United States,3
Core E - Social Sciences,PUBP3000,American Constitutional Issues,3
Core E - Social Sciences,Any SS,SELECT,9
Core F - Courses Related to Major,ECON2105,Principles of Macroeconomics,3
Core F - Courses Related to Major,ECON2106,Principles of Microeconomics,3
Core F - Courses Related to Major,Statistics Elective,3
Core F - Courses Related to Major,Engineering/Science/Math Elective,3
Core F - Courses Related to Major,Modern Languages,6
Major Requirements,ECON3110,Advanced Microeconomic Analysis,3
Major Requirements,ECON3120,Advanced Macroeconomic Analysis,3
Major Requirements,ECON3161,Econometric Analysis,3
ECON Electives,ECON Electives,15
Non-Major Cluster,Cluster Electives,12
Modern Languages,CHIN4500,Advanced Intercultural Seminar,3
Modern Languages,Modern Languages,9
Free Electives,Free Electives,SELECT,11
Free Electives,Total Credit Hours,122
