Category,Course Code,Course Name,Credits
Wellness Requirement,APPH1040,Scientific Foundations of Health,2
Wellness Requirement,orAPPH1050,The Science of Physical Activity and Health,2
Wellness Requirement,orAPPH1060,Flourishing: Strategies for Well-being and Resilience,2
Institutional Priority,CS1315,Introduction to Media Computation,3
Institutional Priority,orCS1301,Introduction to Computing,3
Mathematics and Quantitative Skills,MATH1712,Survey of Calculus,4
Mathematics and Quantitative Skills,orMATH1552,Integral Calculus,4
Political Science and U.S. History,HIST2111,The United States to 1877,3
Political Science and U.S. History,orHIST2112,The United States since 1877,3
Political Science and U.S. History,orINTA1200,American Government in Comparative Perspective,3
Political Science and U.S. History,orPOL1101,Government of the United States,3
Political Science and U.S. History,orPUBP3000,American Constitutional Issues,3
"Arts, Humanities, and Ethics",Modern Languages,6
Communicating in Writing,ENGL1101,English Composition I,3
Communicating in Writing,ENGL1102,English Composition II,3
"Technology, Mathematics, and Sciences",Lab Science,4
"Technology, Mathematics, and Sciences",Lab Science,4
"Technology, Mathematics, and Sciences",MATH1711,Finite Mathematics,4
"Technology, Mathematics, and Sciences",orMATH1551&MATH1553,Differential Calculusand Introduction to Linear Algebra,4
Social Sciences,Any SS,SELECT,9
Field of Study,ECON2105,Principles of Macroeconomics,3
Field of Study,ECON2106,Principles of Microeconomics,3
Field of Study,Statistics Elective,3
Field of Study,Engineering/Science/Math Elective,3
Field of Study,Modern Languages,6
Major Requirements,ECON3110,Advanced Microeconomic Analysis,3
Major Requirements,ECON3120,Advanced Macroeconomic Analysis,3
Major Requirements,ECON3161,Econometric Analysis,3
ECON Electives,ECON Electives,15
Non-Major Cluster,Cluster Electives,12
Modern Languages,CHIN/FREN/GRMN/JAPN/KOR/RUSS/SPAN 4500,Advanced Intercultural Seminar,3
Modern Languages,Modern Languages,9
Free Electives,Free Electives,SELECT,11
Free Electives,Total Credit Hours,122
