Category,Course Code,Course Name,Credits
Wellness,APPH1040,Scientific Foundations of Health,2
Wellness,orAPPH1050,The Science of Physical Activity and Health,2
Wellness,orAPPH1060,Flourishing: Strategies for Well-being and Resilience,2
Core A - Essential Skills,ENGL1101,English Composition I,3
Core A - Essential Skills,ENGL1102,English Composition II,3
Core A - Essential Skills,MATH1712,Survey of Calculus,4
Core A - Essential Skills,orMATH1552,Integral Calculus,4
Core B - Institutional Options,CS1315,Introduction to Media Computation,3
Core C - Humanities,Modern Languages,6
"Core D - Science, Math, & Technology",Lab Science,4
"Core D - Science, Math, & Technology",Lab Science,4
"Core D - Science, Math, & Technology",MATH1711,Finite Mathematics,4
"Core D - Science, Math, & Technology",orMATH1551&MATH1553,Differential Calculusand Introduction to Linear Algebra,4
Core E - Social Sciences,Select one of the following:,SELECT,3
Core E - Social Sciences,HIST2111,The United States to 1877,3
Core E - Social Sciences,HIST2112,The United States since 1877,3
Core E - Social Sciences,INTA1200,American Government in Comparative Perspective,3
Core E - Social Sciences,POL1101,Government of the United States,3
Core E - Social Sciences,PUBP3000,American Constitutional Issues,3
Core E - Social Sciences,Select one of the following:,SELECT,3
Core E - Social Sciences,ECON2100,Economic Analysis and Policy Problems,3
Core E - Social Sciences,ECON2101,The Global Economy,3
Core E - Social Sciences,ECON2105,Principles of Macroeconomics,3
Core E - Social Sciences,ECON2106,Principles of Microeconomics,3
Core E - Social Sciences,Select one of the following:,SELECT,3
Core E - Social Sciences,HTS1031,Europe Since the Renaissance,3
Core E - Social Sciences,HTS2036,Revolutionary Europe: 1789-1914,3
Core E - Social Sciences,HTS2037,Twentieth Century Europe: 1914 to Present,3
Core E - Social Sciences,HTS2040,History of Islamic Societies,3
Core E - Social Sciences,HTS2041,History of the Modern Middle East,3
Core E - Social Sciences,HTS2061,Traditional Asia and Its Legacy,3
Core E - Social Sciences,HTS2062,Asia in the Modern World,3
Core E - Social Sciences,HTS3028,"Ancient Greece: Gods, Heroes, and RuinS",3
Core E - Social Sciences,HTS3029,Ancient Rome: From Greatness to Ruins,3
Core E - Social Sciences,HTS3030,Medieval Europe: 350 to 1400,3
Core E - Social Sciences,HTS3031,European Labor History,3
Core E - Social Sciences,HTS3032,Modern European Intellectual History,3
Core E - Social Sciences,HTS3033,Medieval England,3
Core E - Social Sciences,HTS3035,Britain from 1815-1914,3
Core E - Social Sciences,HTS3036,Britain Since 1914,3
Core E - Social Sciences,HTS3038,The French Revolution,3
Core E - Social Sciences,HTS3039,Modern France,3
Core E - Social Sciences,HTS3041,Modern Spain,3
Core E - Social Sciences,HTS3043,Modern Germany,3
Core E - Social Sciences,HTS3045,Nazi Germany and the Holocaust,3
Core E - Social Sciences,HTS3046,"Science, Poliltics, and Culture in Nazi Germany",3
Core E - Social Sciences,HTS3051,Women and the Politics of Gender in the Middle East,3
Core E - Social Sciences,HTS3061,Modern China,3
Core E - Social Sciences,HTS3062,Modern Japan,3
Core E - Social Sciences,HTS3063,Outposts of Empire: Comparative History of British,3
Core E - Social Sciences,HTS3065,History of Global Societies,3
Core E - Social Sciences,HTS3067,Revolutionary Movements in the Modern World,3
Core E - Social Sciences,HTS3069,Modern Cuba,3
Core E - Social Sciences,INTA1110,Introduction to International Relations,3
Core F - Courses Related to Major,INTA2010,Empirical Methods,3
Core F - Courses Related to Major,INTA2040,"Science, Technology, and International Affairs",3
Core F - Courses Related to Major,INTA1000- or 2000-level Electives,9,https://catalog.gatech.edu/search/?P=INTA%201000
Core F - Courses Related to Major,Select one of the following:,SELECT,3
Core F - Courses Related to Major,BMED2400,Introduction to Bioengineering Statistics,3
Core F - Courses Related to Major,CP4510,Fundamentals of Geographic Information Systems,3
Core F - Courses Related to Major,CS1301,Introduction to Computing,3
Core F - Courses Related to Major,CS1315,Introduction to Media Computation,3
Core F - Courses Related to Major,CS1316,Representing Structure and Behavior,3
Core F - Courses Related to Major,CS1331,Introduction to Object Oriented Programming,3
Core F - Courses Related to Major,CS2316,Data Manipulation for Science and Industry,3
Core F - Courses Related to Major,EAS3110,"Energy, Environment, and Society",3
Core F - Courses Related to Major,EAS4480,Environmental Data Analysis,3
Core F - Courses Related to Major,ECE2020,Digital System Design,3
Core F - Courses Related to Major,ID3103,Industrial Design Computing I,3
Core F - Courses Related to Major,LMC3402,Graphic and Visual Design,3
Core F - Courses Related to Major,LMC3410,The Rhetoric of Nonlinear Documents,3
Core F - Courses Related to Major,ME2016,Computer Applications,3
Core F - Courses Related to Major,MGT2210,Information Systems and Digital Transformation,3
Core F - Courses Related to Major,MGT4051,Decision Support and Expert Systems,3
Core F - Courses Related to Major,MGT4052,Systems Analysis and Design,3
Major Requirements,INTA2001,Careers in International Affairs,1
Major Requirements,INTA3110,U.S. Foreign Policy,3
Major Requirements,INTA3203,Comparative Politics,3
Major Requirements,INTA3301,International Political Economy,3
Major Requirements,INTA4500,Pro-Seminar in International Affairs,3
Major Requirements,INTA3000- or 4000-level Electives,12,https://catalog.gatech.edu/search/?P=INTA%203000
Capstone Requirement,JAPN4500,Advanced Intercultural Seminar,3
Modern Language,Modern Languages,15
Free Electives,Free Electives,SELECT,16
Free Electives,Total Credit Hours,122
