Category,Course Code,Course Name,Credits
Wellness Requirement,APPH1040,Scientific Foundations of Health,2
Wellness Requirement,orAPPH1050,The Science of Physical Activity and Health,2
Wellness Requirement,orAPPH1060,Flourishing: Strategies for Well-being and Resilience,2
Institutional Priority,CS1301,Introduction to Computing,3
Institutional Priority,orCS1315,Introduction to Media Computation,3
Mathematics and Quantitative Skills,MATH1712,Survey of Calculus,4
Mathematics and Quantitative Skills,orMATH1552,Integral Calculus,4
Political Science and U.S. History,HIST2111,The United States to 1877,3
Political Science and U.S. History,orHIST2112,The United States since 1877,3
Political Science and U.S. History,orINTA1200,American Government in Comparative Perspective,3
Political Science and U.S. History,orPOL1101,Government of the United States,3
Political Science and U.S. History,orPUBP3000,American Constitutional Issues,3
"Arts, Humanities, and Ethics",Any HUM,SELECT,6
Communicating in Writing,ENGL1101,English Composition I,3
Communicating in Writing,ENGL1102,English Composition II,3
"Technology, Mathematics, and Sciences",Lab Science,4
"Technology, Mathematics, and Sciences",Lab Science,4
"Technology, Mathematics, and Sciences",MATH1711,Finite Mathematics,4
"Technology, Mathematics, and Sciences",orMATH1551&MATH1553,Differential Calculusand Introduction to Linear Algebra,4
Social Sciences,International Requirement,3
Social Sciences,Any SS,SELECT,6
Field of Study,Technical Electives,6
Field of Study,Ethics Requirement,3,https://catalog.gatech.edu/academics/undergraduate/core-curriculum/ethics/#
Field of Study,LMC2000,"Introduction to Literature, Media, and Communication",3
Field of Study,Select two of the following:,SELECT,6
Field of Study,LMC2050,"Seminar in Literature, Media, and Communication",
Field of Study,LMC2060,Introduction to Literary Studies,
Field of Study,LMC2100,"Introduction to Science, Technology and Culture",
Field of Study,LMC2200,Introduction to Gender Studies,
Field of Study,LMC2350,Introduction to Social Justice,
Field of Study,LMC2400,Introduction to Media Studies,
Field of Study,LMC2500,Introduction to Film,
Field of Study,LMC2600,Introduction to Performance Studies,
Major Requirements,Select  one of the following:,SELECT,3
Major Requirements,LMC4000,"Senior Seminar in Literature, Media, and Communication",
Major Requirements,orLMC4500,Seminar in Film Studies,-1
Major Requirements,orLMC4102,Senior Thesis,-1
Major Requirements,LMC4500,Seminar in Film Studies,
Major Requirements,LMC4102,Senior Thesis,
Concentration,"Science, Technology, and Culture",
Concentration,LMC2100,"Introduction to Science, Technology and Culture",3
Concentration,Select two Foundations courses:,SELECT,6
Concentration,LMC3104,The Age of Scientific Discovery,
Concentration,LMC3106,The Age of Scientific Revolution,
Concentration,LMC3112,Evolution and the Industrial Age,
Concentration,LMC3214,Science Fiction,
Concentration,LMC3215,Science Fiction Film and Television,
Concentration,LMC3310,The Rhetoric of Scientific Inquiry,
Concentration,LMC3318,Biomedicine and Culture,
Concentration,LMC3302,"Science, Technology, and Ideology",
Concentration,LMC3304,"Science, Technology, and Gender",
Concentration,LMC3306,"Science, Technology, and Race",
Concentration,Select three Specialty courses:,SELECT,9
Concentration,LMC3206,Communication and Culture,
Concentration,LMC3219,Literature and Medicine,
Concentration,LMC3225,Gender Studies in the Disciplines,
Concentration,LMC3257,Global Cinema,
Concentration,LMC3308,Environmentalism and Ecocriticism,
Concentration,LMC3314,Technologies of Representation,
Concentration,LMC3352,Film and/as Technology,
Concentration,LMC3403,"Technical Communication, Theory and Practice",
Concentration,LMC3404,Social Media,
Concentration,LMC3405,"Media, Culture, and Society",
Concentration,LMC3411,The Rhetoric of Visual Communication,
Concentration,LMC3813,Special Topics,
Concentration,LMC4725,Games Design as a Cultural Practice,
Concentration,LMC4730,Experimental Digital Art,
Concentration,LMC4733,Mixed Reality Experience Design,
Concentration,Social Justice,
Concentration,LMC2350,Introduction to Social Justice,3
Concentration,Select two Foundations courses:,SELECT,6
Concentration,LMC2200,Introduction to Gender Studies,
Concentration,LMC3208,African American Literature and Culture,
Concentration,LMC3210,Ethnicity in American Culture,
Concentration,LMC3212,"Women, Literature, and Culture",
Concentration,LMC3219,Literature and Medicine,
Concentration,LMC3225,Gender Studies in the Disciplines,
Concentration,LMC3302,"Science, Technology, and Ideology",
Concentration,LMC3304,"Science, Technology, and Gender",
Concentration,LMC3306,"Science, Technology, and Race",
Concentration,LMC3318,Biomedicine and Culture,
Concentration,Select three Specialty courses:,SELECT,9
Concentration,LMC3104,The Age of Scientific Discovery,
Concentration,LMC3106,The Age of Scientific Revolution,
Concentration,LMC3112,Evolution and the Industrial Age,
Concentration,LMC3202,Studies in Fiction,
Concentration,LMC3214,Science Fiction,
Concentration,LMC3257,Global Cinema,
Concentration,LMC3258,Documentary Film,
Concentration,LMC3263,"Music, Culture, and Society",
Concentration,LMC3308,Environmentalism and Ecocriticism,
Concentration,LMC3316,"Science, Technology, and Postcolonialism",
Concentration,LMC3404,Social Media,
Concentration,LMC3405,"Media, Culture, and Society",
Concentration,LMC3511,American Literature & Culture,
Concentration,LMC3520,Contemporary Issues in Literature & Culture,
Concentration,LMC3813,Special Topics,
Concentration,LMC Electives,6
Free Electives,Free Electives,SELECT,14
Free Electives,Total Credit Hours,122
