Category,Course Code,Course Name,Credits
Wellness Requirement,APPH1040,Scientific Foundations of Health,2
Wellness Requirement,orAPPH1050,The Science of Physical Activity and Health,2
Wellness Requirement,orAPPH1060,Flourishing: Strategies for Well-being and Resilience,2
Institutional Priority,CS1301,Introduction to Computing,3
Institutional Priority,orCS1315,Introduction to Media Computation,3
Institutional Priority,orCS1371,Computing for Engineers,3
Mathematics and Quantitative Skills,MATH1552,Integral Calculus,4
Political Science and U.S. History,HIST2111,The United States to 1877,3
Political Science and U.S. History,orHIST2112,The United States since 1877,3
Political Science and U.S. History,orINTA1200,American Government in Comparative Perspective,3
Political Science and U.S. History,orPOL1101,Government of the United States,3
Political Science and U.S. History,orPUBP3000,American Constitutional Issues,3
"Arts, Humanities, and Ethics",Any HUM,SELECT,6
Communicating in Writing,ENGL1101,English Composition I,3
Communicating in Writing,ENGL1102,English Composition II,3
"Technology, Mathematics, and Sciences",CHEM or PHYS,8
"Technology, Mathematics, and Sciences",MATH1551,Differential Calculus,2
"Technology, Mathematics, and Sciences",MATH1553,Introduction to Linear Algebra,2
"Technology, Mathematics, and Sciences",orMATH1554,Linear Algebra,2
"Technology, Mathematics, and Sciences",orMATH1564,Linear Algebra with Abstract Vector Spaces,2
Social Sciences,PSYC1101,General Psychology,3
Social Sciences,PSYC2015,Research Methods,4
Social Sciences,Any SS,SELECT,2
Field of Study,BIOS1107&1107L,Biological Principlesand Biological Principles Laboratory,4
Field of Study,BIOS1108&1108L,Organismal Biologyand Organismal Biology Laboratory,4
Field of Study,Choose two of the following:,6
Field of Study,PSYC2103,Human Development Over the Life Span,
Field of Study,PSYC2210,Social Psychology,
Field of Study,PSYC2230,Abnormal Psychology,
Field of Study,PSYC2240,Personality Theory,
Field of Study,PSYC2020,Psychological Statistics,4
Major Requirements,Choose 8 credits from the following:,8
Major Requirements,PSYC4011,Cognitive Psychology,
Major Requirements,PSYC4020,Biopsychology,
Major Requirements,PSYC4025,Learning and Memory,
Major Requirements,PSYC4041,Human Sensation and Perception,
Major Requirements,PSYC4031,Applied Experimental Psychology,4
Major Requirements,orPSYC4601,Senior Thesis II,4
PSYC Electives,Choose 15 credits from the following:,15
PSYC Electives,PSYC2005,Exploring Multicultural Identities,
PSYC Electives,PSYC2103,Human Development Over the Life Span,
PSYC Electives,PSYC2130,Introduction to Educational Psychology,
PSYC Electives,PSYC2210,Social Psychology,
PSYC Electives,PSYC2220,Industrial/Organizational Psychology,
PSYC Electives,PSYC2230,Abnormal Psychology,
PSYC Electives,PSYC2240,Personality Theory,
PSYC Electives,PSYC2270,Introduction to Engineering Psychology,
PSYC Electives,PSYC2280,Psychology of Creativity and Art,
PSYC Electives,PSYC2695,Internship,
PSYC Electives,PSYC2699,Undergraduate Research,
PSYC Electives,PSYC2760,Human Language Processing,
PSYC Electives,PSYC2803,Special Topics,
PSYC Electives,PSYC3031,Experimental Analysis of Behavior,
PSYC Electives,PSYC3750,Human Computer Interface Design and Evaluation,
PSYC Electives,PSYC3790,Introduction to Cognitive Science,
PSYC Electives,PSYC3873,Special Topics,
PSYC Electives,PSYC4010,Human Abilities,
PSYC Electives,PSYC4011,Cognitive Psychology,
PSYC Electives,PSYC4020,Biopsychology,
PSYC Electives,PSYC4025,Learning and Memory,
PSYC Electives,PSYC4041,Human Sensation and Perception,
PSYC Electives,PSYC4050,History and Systems,
PSYC Electives,PSYC4090,Cognitive Neuroscience,
PSYC Electives,PSYC4100,Behavioral Pharmacology,
PSYC Electives,PSYC4200,Advanced Topics in Cognitive Psychology,
PSYC Electives,PSYC4260,Psychology of Aging,
PSYC Electives,PSYC4270,Psychological Testing,
PSYC Electives,PSYC4600,Senior Thesis I,
PSYC Electives,PSYC4697,Psychology Undergraduate Teaching Experience,
PSYC Electives,PSYC4699,Undergraduate Research,
Free Electives,Free Electives,SELECT,32
Free Electives,Total Credit Hours,122
