Category,Course Code,Course Name,Credits,URL
Wellness,APPH1040,Scientific Foundations of Health,2,https://catalog.gatech.edu/search/?P=APPH%201040
Wellness,orAPPH1050,The Science of Physical Activity and Health,2,https://catalog.gatech.edu/search/?P=APPH%201050
Wellness,orAPPH1060,Flourishing: Strategies for Well-being and Resilience,2,https://catalog.gatech.edu/search/?P=APPH%201060
Core A - Essential Skills,ENGL1101,English Composition I,3,https://catalog.gatech.edu/search/?P=ENGL%201101
Core A - Essential Skills,ENGL1102,English Composition II,3,https://catalog.gatech.edu/search/?P=ENGL%201102
Core A - Essential Skills,MATH1712,Survey of Calculus,4,https://catalog.gatech.edu/search/?P=MATH%201712
Core A - Essential Skills,orMATH1552,Integral Calculus,4,https://catalog.gatech.edu/search/?P=MATH%201552
Core B - Institutional Options,CS1315,Introduction to Media Computation,3,https://catalog.gatech.edu/search/?P=CS%201315
Core C - Humanities,Any HUM,6,https://catalog.gatech.edu/academics/undergraduate/core-curriculum/core-area-c/#
Core D - Science, Math, & Technology,Lab Science,4
Core D - Science, Math, & Technology,Lab Science,4
Core D - Science, Math, & Technology,MATH1711,Finite Mathematics,4,https://catalog.gatech.edu/search/?P=MATH%201711
Core D - Science, Math, & Technology,orMATH1551&MATH1553,Differential Calculusand Introduction to Linear Algebra,4,https://catalog.gatech.edu/search/?P=MATH%201551
Core E - Social Sciences,POL1101,Government of the United States,3,https://catalog.gatech.edu/search/?P=POL%201101
Core E - Social Sciences,Any SS,9,https://catalog.gatech.edu/academics/undergraduate/core-curriculum/core-area-e/#
Core F - Courses Related to Major,ECON2106,Principles of Microeconomics,3,https://catalog.gatech.edu/search/?P=ECON%202106
Core F - Courses Related to Major,PHIL2025,Philosophical Analysis of Policy Choices,3,https://catalog.gatech.edu/search/?P=PHIL%202025
Core F - Courses Related to Major,PUBP2010,Political Processes,3,https://catalog.gatech.edu/search/?P=PUBP%202010
Core F - Courses Related to Major,PUBP2030,Organizations and Policy,3,https://catalog.gatech.edu/search/?P=PUBP%202030
Core F - Courses Related to Major,Science, Computing, or Engineering Elective,6
Major Requirements,PUBP3020,Applied Political Economy,3,https://catalog.gatech.edu/search/?P=PUBP%203020
Major Requirements,PUBP3030,Policy Analysis,3,https://catalog.gatech.edu/search/?P=PUBP%203030
Major Requirements,PUBP3120,Statistical Analysis for Public Policy,3,https://catalog.gatech.edu/search/?P=PUBP%203120
Major Requirements,PUBP3130,Research Methods and  Problem Solving,3,https://catalog.gatech.edu/search/?P=PUBP%203130
Major Requirements,PUBP4010,Policy Task Force I,3,https://catalog.gatech.edu/search/?P=PUBP%204010
Major Requirements,PUBP4020,Policy Task Force II,3,https://catalog.gatech.edu/search/?P=PUBP%204020
Major Requirements,PUBP2651,Public Policy Internship,3,https://catalog.gatech.edu/search/?P=PUBP%202651
Major Requirements,orPUBP4651,Public Policy Internship,3,https://catalog.gatech.edu/search/?P=PUBP%204651
Clusters,Students must select nine hours each from two clusters. See Cluster Electives below for options.,18
Non-Major Cluster,Any POL, PHIL, or PUBP course,3
Free Electives,Free Electives,17
Free Electives,Total Credit Hours,122
