Category,Course Code,Course Name,Credits
Wellness Requirement,APPH1040,Scientific Foundations of Health,2
Wellness Requirement,orAPPH1050,The Science of Physical Activity and Health,2
Wellness Requirement,orAPPH1060,Flourishing: Strategies for Well-being and Resilience,2
Institutional Priority,CS1301,Introduction to Computing,3
Institutional Priority,orCS1371,Computing for Engineers,3
Mathematics and Quantitative Skills,MATH1552,Integral Calculus,4
Political Science and U.S. History,HIST2111,The United States to 1877,3
Political Science and U.S. History,orHIST2112,The United States since 1877,3
Political Science and U.S. History,orINTA1200,American Government in Comparative Perspective,3
Political Science and U.S. History,orPOL1101,Government of the United States,3
Political Science and U.S. History,orPUBP3000,American Constitutional Issues,3
"Arts, Humanities, and Ethics",Any HUM,SELECT,6
Communicating in Writing,ENGL1101,English Composition I,3
Communicating in Writing,ENGL1102,English Composition II,3
"Technology, Mathematics, and Sciences",PHYS2211,Introductory Physics I,4
"Technology, Mathematics, and Sciences",PHYS2212,Introductory Physics II,4
"Technology, Mathematics, and Sciences",MATH1551,Differential Calculus,2
"Technology, Mathematics, and Sciences",MATH1553,Introduction to Linear Algebra,2
"Technology, Mathematics, and Sciences",orMATH1554,Linear Algebra,2
"Technology, Mathematics, and Sciences",orMATH1564,Linear Algebra with Abstract Vector Spaces,2
Social Sciences,ECON2106,Principles of Microeconomics,3
Social Sciences,Any SS,SELECT,6
Field of Study,MATH2551,Multivariable Calculus,4
Field of Study,MATH2552,Differential Equations,4
Field of Study,CHEM1310,Principles of General Chemistry for Engineers,4
Field of Study,orCHEM1211K,Chemical Principles I,4
Field of Study,PHYS2213,Introduction to Modern Physics,3
Field of Study,PHYS3201,Classical Mechanics I,3
Upper-Level Physics,PHYS3120,Computational Physics,3
Upper-Level Physics,PHYS3122,Electrostatics and Magnetostatics,3
Upper-Level Physics,PHYS3123,Electrodynamics,3
Upper-Level Physics,PHYS3141,Thermodynamics,3
Upper-Level Physics,PHYS3143,Quantum Mechanics I,3
Upper-Level Physics,PHYS3208,Modern Optics Laboratory,3
Upper-Level Physics,PHYS3209,Electronics I,3
Upper-Level Physics,PHYS4321,Advanced Laboratory I,3
Upper-Level Physics,PHYS4601,Senior Seminar I,1
Upper-Level Physics,PHYS4602,Senior Seminar II,1
Physics or Technical Electives,Any PHYS or Technical Electives,SELECT,19
Business Option,ACCT2101,Accounting I: Financial Accounting,3
Business Option,orMGT3000,Financial and Managerial Accounting,3
Business Option,MGT3101,Organizational Behavior,3
Business Option,orMGT3150,Principles of Management,3
Business Option,orPSYC2220,Industrial/Organizational Psychology,3
Business Option,Choose one of the following:,6
Business Option,MGT3062,Financial Management,
Business Option,MGT3078,Finance and Investments,
Business Option,MGT3300,Marketing Management I,
Business Option,MGT3660,International Business,
Business Option,MGT4015,Advanced Managerial Accounting,
Business Option,MGT4026,Financial Reporting and Analysis I,
Business Option,MGT4028,Financial Analysis and Reporting of Technology Firms,
Business Option,MGT4030,International Accounting,
Business Option,MGT4190,Strategic Quality Management and Competitiveness,
Business Option,MGT4191,The Entrepreneurship Forum,
Business Option,MGT4192,Impact Speaker Series Forum,
Business Option,MGT4193,"Servant Leadership, Values & Systems",
Business Option,MGT4194,Social Enterprise and Entrepreneurship,
Business Option,MGT4303,Personal Selling and Sales Management,
Business Option,MGT4304,Strategic Brand Management,
Business Option,MGT4307,Strategic Marketing,
Business Option,MGT4335,International Marketing,
Business Option,MGT4610,"Law, Management, and Economics",
Business Option,MGT4670,Entrepreneurship,
Free Electives,Free Electives,SELECT,2
Free Electives,Total Credit Hours,122
