Category,Course Code,Course Name,Credits
Wellness Requirement,APPH1040,Scientific Foundations of Health,2
Wellness Requirement,orAPPH1050,The Science of Physical Activity and Health,2
Wellness Requirement,orAPPH1060,Flourishing: Strategies for Well-being and Resilience,2
Institutional Priority,CS1301,Introduction to Computing,3
Institutional Priority,orCS1371,Computing for Engineers,3
Mathematics and Quantitative Skills,MATH1552,Integral Calculus,4
Political Science and U.S. History,Choose one of the following:,3
Political Science and U.S. History,HIST2111,The United States to 1877,
Political Science and U.S. History,HIST2112,The United States since 1877,
Political Science and U.S. History,INTA1200,American Government in Comparative Perspective,
Political Science and U.S. History,POL1101,Government of the United States,
Political Science and U.S. History,PUBP3000,American Constitutional Issues,
"Arts, Humanities, and Ethics",Any HUM,SELECT,6
Communicating in Writing,ENGL1101,English Composition I,3
Communicating in Writing,ENGL1102,English Composition II,3
"Technology, Mathematics, and Sciences",PHYS2211,Introductory Physics I,4
"Technology, Mathematics, and Sciences",PHYS2212,Introductory Physics II,4
"Technology, Mathematics, and Sciences",MATH1551,Differential Calculus,2
"Technology, Mathematics, and Sciences",MATH1553,Introduction to Linear Algebra,2
"Technology, Mathematics, and Sciences",orMATH1554,Linear Algebra,2
"Technology, Mathematics, and Sciences",orMATH1564,Linear Algebra with Abstract Vector Spaces,2
Social Sciences,Any SS,SELECT,9
Field of Study,MATH2551,Multivariable Calculus,4
Field of Study,MATH2552,Differential Equations,4
Field of Study,CHEM1310,Principles of General Chemistry for Engineers,4
Field of Study,orCHEM1211K,Chemical Principles I,4
Field of Study,PHYS2213,Introduction to Modern Physics,3
Field of Study,PHYS3201,Classical Mechanics I,3
Upper-Level Physics,PHYS3120,Computational Physics,3
Upper-Level Physics,PHYS3122,Electrostatics and Magnetostatics,3
Upper-Level Physics,PHYS3123,Electrodynamics,3
Upper-Level Physics,PHYS3141,Thermodynamics,3
Upper-Level Physics,PHYS3143,Quantum Mechanics I,3
Upper-Level Physics,PHYS3208,Modern Optics Laboratory,3
Upper-Level Physics,PHYS3209,Electronics I,3
Upper-Level Physics,PHYS4321,Advanced Laboratory I,3
Upper-Level Physics,PHYS4601,Senior Seminar I,1
Upper-Level Physics,PHYS4602,Senior Seminar II,1
Physics or Technical Electives,Any PHYS or Technical Electives,SELECT,19
Free Electives,Free Electives,SELECT,14
Free Electives,Total Credit Hours,122
