Category,Course Code,Course Name,Credits
Wellness Requirement,APPH1040,Scientific Foundations of Health,2
Wellness Requirement,orAPPH1050,The Science of Physical Activity and Health,2
Wellness Requirement,orAPPH1060,Flourishing: Strategies for Well-being and Resilience,2
Institutional Priority,CS1301,Introduction to Computing,3
Institutional Priority,orCS1315,Introduction to Media Computation,3
Institutional Priority,orCS1371,Computing for Engineers,3
Mathematics and Quantitative Skills,MATH1552,Integral Calculus,4
Mathematics and Quantitative Skills,orMATH1555,Calculus for Life Sciences,4
Political Science and U.S. History,HIST2111,The United States to 1877,3
Political Science and U.S. History,orHIST2112,The United States since 1877,3
Political Science and U.S. History,orINTA1200,American Government in Comparative Perspective,3
Political Science and U.S. History,orPOL1101,Government of the United States,3
Political Science and U.S. History,orPUBP3000,American Constitutional Issues,3
"Arts, Humanities, and Ethics",Any HUM,SELECT,6
Communicating in Writing,ENGL1101,English Composition I,3
Communicating in Writing,ENGL1102,English Composition II,3
"Technology, Mathematics, and Sciences",PHYS2211,Introductory Physics I,4
"Technology, Mathematics, and Sciences",PHYS2212,Introductory Physics II,4
"Technology, Mathematics, and Sciences",MATH1551,Differential Calculus,2
"Technology, Mathematics, and Sciences",MATH1553,Introduction to Linear Algebra,2
Social Sciences,ECON2106,Principles of Microeconomics,3
Social Sciences,Any SS,SELECT,6
Field of Study,BIOS1207&1207L,Biological Principles for Majorsand Biological Principles Project Laboratory,4
Field of Study,orBIOS1107&1107L,Biological Principlesand Biological Principles Laboratory,4
Field of Study,CHEM1211K,Chemical Principles I,4
Field of Study,CHEM1212K,Chemical Principles II,4
Field of Study,CHEM2311,Organic Chemistry I,3
Field of Study,CHEM2312,Organic Chemistry II,3
Field of Study,orCHEM2313,Organic and Bioorganic Chemistry,3
Major Requirements,BIOS1208&1208L,Organismal Biology for Majorsand Organismal Biology Project Laboratory,4
Major Requirements,orBIOS1108&1108L,Organismal Biologyand Organismal Biology Laboratory,4
Major Requirements,BIOS2300,Ecology,3
Major Requirements,orBIOS2310,Problems in Ecology,3
Major Requirements,BIOS3450,Cell and Molecular Biology,3
Major Requirements,BIOS2600,Genetics,3
Major Requirements,orBIOS2610,Integrative Genetics,3
Major Requirements,Biology Lab,2
Major Requirements,BIOS3600,Evolutionary Biology,3
Major Requirements,BIOS4460,Communicating Biological Research,1
Major Requirements,Select one of the following:,SELECT,3
Major Requirements,BIOS4590,Research Project Lab,3
Major Requirements,BIOS4690,Independent Research Project,3
Non-Biology Courses,CHEM2380,Synthesis Laboratory I,2
Non-Biology Courses,orCHEM2380U,Synthesis Laboratory I,2
Non-Biology Courses,Select one from the following:,SELECT,3
Non-Biology Courses,BIOS3400,Mathematical Models in Biology,3
Non-Biology Courses,BIOS4150,Genomics and Applied Bioinformatics,3
Non-Biology Courses,BIOS4401,Experimental Design and Statistical Methods in Biological Sciences,3
Biology Electives,Biology Electives at 3000-level or higher,15
Business Option,ACCT2101,Accounting I: Financial Accounting,3
Business Option,orMGT3000,Financial and Managerial Accounting,3
Business Option,Select one of the following:,SELECT,3
Business Option,MGT3101,Organizational Behavior,3
Business Option,MGT3150,Principles of Management,3
Business Option,PSYC2220,Industrial/Organizational Psychology,3
Business Option,Select two of the following:,SELECT,6
Business Option,MGT3062,Financial Management,3
Business Option,MGT3078,Finance and Investments,3
Business Option,MGT3300,Marketing Management I,3
Business Option,MGT3660,International Business,3
Business Option,MGT4015,Advanced Managerial Accounting,3
Business Option,MGT4026,Financial Reporting and Analysis I,3
Business Option,MGT4028,Financial Analysis and Reporting of Technology Firms,3
Business Option,MGT4030,International Accounting,3
Business Option,MGT4190,Strategic Quality Management and Competitiveness,3
Business Option,MGT4191,The Entrepreneurship Forum,3
Business Option,MGT4192,Impact Speaker Series Forum,3
Business Option,MGT4193,"Servant Leadership, Values & Systems",3
Business Option,MGT4194,Social Enterprise and Entrepreneurship,3
Business Option,MGT4303,Personal Selling and Sales Management,3
Business Option,MGT4304,Strategic Brand Management,3
Business Option,MGT4307,Strategic Marketing,3
Business Option,MGT4335,International Marketing,3
Business Option,MGT4610,"Law, Management, and Economics",3
Business Option,MGT4670,Entrepreneurship,3
Free Electives,Free Electives,SELECT,5
Free Electives,Total Credit Hours,122
