Category,Course Code,Course Name,Credits
Wellness Requirement,APPH1040,Scientific Foundations of Health,2
Wellness Requirement,orAPPH1050,The Science of Physical Activity and Health,2
Wellness Requirement,orAPPH1060,Flourishing: Strategies for Well-being and Resilience,2
Institutional Priortiy,CS1301,Introduction to Computing,3
Institutional Priortiy,orCS1315,Introduction to Media Computation,3
Institutional Priortiy,orCS1371,Computing for Engineers,3
Mathematics and Quantitative Skills,MATH1552,Integral Calculus,4
Mathematics and Quantitative Skills,orMATH1555,Calculus for Life Sciences,4
Political Science and U.S. History,HIST2111,The United States to 1877,3
Political Science and U.S. History,orHIST2112,The United States since 1877,3
Political Science and U.S. History,orINTA1200,American Government in Comparative Perspective,3
Political Science and U.S. History,orPOL1101,Government of the United States,3
Political Science and U.S. History,orPUBP3000,American Constitutional Issues,3
"Arts, Humanities, and Ethics",Any HUM,SELECT,6
Communicating in Writing,ENGL1101,English Composition I,3
Communicating in Writing,ENGL1102,English Composition II,3
"Technology, Mathematics, and Science",PHYS2211,Introductory Physics I,4
"Technology, Mathematics, and Science",PHYS2212,Introductory Physics II,4
"Technology, Mathematics, and Science",MATH1551,Differential Calculus,2
"Technology, Mathematics, and Science",MATH1553,Introduction to Linear Algebra,2
Social Sciences,Any SS,SELECT,9
Field of Study,BIOS1207&1207L,Biological Principles for Majorsand Biological Principles Project Laboratory,4
Field of Study,orBIOS1107&1107L,Biological Principlesand Biological Principles Laboratory,4
Field of Study,CHEM1211K,Chemical Principles I,4
Field of Study,CHEM1212K,Chemical Principles II,4
Field of Study,CHEM2311,Organic Chemistry I,3
Field of Study,CHEM2312,Organic Chemistry II,3
Field of Study,orCHEM2313,Organic and Bioorganic Chemistry,3
Major Requirements,BIOS1208&1208L,Organismal Biology for Majorsand Organismal Biology Project Laboratory,4
Major Requirements,orBIOS1108&1108L,Organismal Biologyand Organismal Biology Laboratory,4
Major Requirements,BIOS2300,Ecology,3
Major Requirements,orBIOS2310,Problems in Ecology,3
Major Requirements,BIOS3450,Cell and Molecular Biology,3
Major Requirements,BIOS2600,Genetics,3
Major Requirements,orBIOS2610,Integrative Genetics,3
Major Requirements,Biology Lab,2
Major Requirements,BIOS3600,Evolutionary Biology,3
Major Requirements,BIOS4460,Communicating Biological Research,1
Major Requirements,Select one of the following:,SELECT,3
Major Requirements,BIOS4590,Research Project Lab,3
Major Requirements,BIOS4690,Independent Research Project,3
Non-Biology Courses,CHEM2380,Synthesis Laboratory I,2
Non-Biology Courses,orCHEM2380U,Synthesis Laboratory I,2
Non-Biology Courses,Select one of the following:,SELECT,3
Non-Biology Courses,BIOS3400,Mathematical Models in Biology,3
Non-Biology Courses,BIOS4150,Genomics and Applied Bioinformatics,3
Non-Biology Courses,BIOS4401,Experimental Design and Statistical Methods in Biological Sciences,3
Biology Electives,Biology Electives 3000-level or higher,21
Free Electives,Free Electives,SELECT,11
Free Electives,Total Credit Hours,122
