Category,Course Code,Course Name,Credits
Wellness Requirement,APPH1040,Scientific Foundations of Health,2
Wellness Requirement,orAPPH1050,The Science of Physical Activity and Health,2
Wellness Requirement,orAPPH1060,Flourishing: Strategies for Well-being and Resilience,2
Institutional Priority,CS1301,Introduction to Computing,3
Institutional Priority,orCS1315,Introduction to Media Computation,3
Mathematics and Quantitative Skills,MATH1552,Integral Calculus,4
Mathematics and Quantitative Skills,orMATH1712,Survey of Calculus,4
Political Science and U.S. History,HIST2111,The United States to 1877,3
Political Science and U.S. History,orHIST2112,The United States since 1877,3
Political Science and U.S. History,orINTA1200,American Government in Comparative Perspective,3
Political Science and U.S. History,orPOL1101,Government of the United States,3
Political Science and U.S. History,orPUBP3000,American Constitutional Issues,3
"Arts, Humanities, and Ethics",Any HUM,SELECT,6
Communicating in Writing,ENGL1101,English Composition I,3
Communicating in Writing,ENGL1102,English Composition II,3
"Technology, Mathematics, and Sciences",Lab Science,4
"Technology, Mathematics, and Sciences",Lab Science,4
"Technology, Mathematics, and Sciences",MATH1551&MATH1553,Differential Calculusand Introduction to Linear Algebra,4
"Technology, Mathematics, and Sciences",orMATH1711,Finite Mathematics,4
Social Sciences,ECON2105,Principles of Macroeconomics,3
Social Sciences,ECON2106,Principles of Microeconomics,3
Social Sciences,Any SS,SELECT,3
Field of Study,ACCT2101,Accounting I: Financial Accounting,3
Field of Study,ACCT2102,Accounting II: Managerial Accounting,3
Field of Study,MGT2106,"Legal, Social, Ethical Aspects of Business",3
Field of Study,MGT2210,Information Systems and Digital Transformation,3
Field of Study,MGT2250,Management Statistics,3
Field of Study,MGT2255,Quantitative Analysis for Business,3
Major Requirements,LMC3403,"Technical Communication, Theory and Practice",3
Major Requirements,MGT3062,Financial Management,3
Major Requirements,MGT3101,Organizational Behavior,3
Major Requirements,MGT3102,Managing Human Resources within a Regulatory Environment,3
Major Requirements,MGT3300,Marketing Management I,3
Major Requirements,MGT3501,Operations Management,3
Major Requirements,MGT3599,Career Development Workshop,1
Major Requirements,MGT3660,International Business,3
Major Requirements,MGT3659,Foundations of Strategy,3
General Management Concentration,Select six of the following:,SELECT,18
General Management Concentration,MGT3075,Security Valuation,
General Management Concentration,MGT3076,Investments,
General Management Concentration,MGT3079,Management of Financial Institutions,
General Management Concentration,MGT3082,Fundamentals of Real Estate Development,
General Management Concentration,MGT3084,Derivative Securities,
General Management Concentration,MGT3103,Leadership in a Changing Environment,
General Management Concentration,MGT3310,Marketing Research: Analytics,
General Management Concentration,MGT3510,Management of Technology,
General Management Concentration,MGT3605,Principles of Commerical Law,
General Management Concentration,MGT3606,International Business Law,
General Management Concentration,MGT3607,Business Ethics,
General Management Concentration,MGT3608,Technology Law and Ethics,
General Management Concentration,MGT3609,Legal Aspects of Real Estate,
General Management Concentration,MGT3661,Advanced Concepts in International Business,
General Management Concentration,MGT3662,Management in the Healthcare Sector,
General Management Concentration,MGT3663,Technology Strategy,
General Management Concentration,MGT3743,Analysis of Emerging Technologies,
General Management Concentration,MGT3744,"Managing Product, Service & Technology Development",
General Management Concentration,MGT4010,Business Taxation,
General Management Concentration,MGT4015,Advanced Managerial Accounting,
General Management Concentration,MGT4026,Financial Reporting and Analysis I,
General Management Concentration,MGT4027,Financial Reporting and Analysis II,
General Management Concentration,MGT4028,Financial Analysis and Reporting of Technology Firms,
General Management Concentration,MGT4030,International Accounting,
General Management Concentration,MGT4041,Auditing and Financial Control Systems,
General Management Concentration,MGT4043,Advanced Financial Reporting,
General Management Concentration,MGT4045,Seminar in Advanced Accounting,
General Management Concentration,MGT4047,Ethics & Accounting,
General Management Concentration,MGT4052,Systems Analysis and Design,
General Management Concentration,MGT4053,Business Data Communications,
General Management Concentration,MGT4056,Electronic Commerce,
General Management Concentration,MGT4057,Business Process Analysis and Design,
General Management Concentration,MGT4058,Database Management Systems,
General Management Concentration,MGT4066,Corporate Restructuring,
General Management Concentration,MGT4067,Financial Markets: Trading and Structure,
General Management Concentration,MGT4068,Fixed Income,
General Management Concentration,MGT4070,International Finance,
General Management Concentration,MGT4072,Entrepreneurial Finance,
General Management Concentration,MGT4102,Management Consulting,
General Management Concentration,MGT4116,"The Role of Gender, Race and Ethnicity in Organizational Behavior",
General Management Concentration,MGT4191,The Entrepreneurship Forum,
General Management Concentration,MGT4192,Impact Speaker Series Forum,
General Management Concentration,MGT4193,"Servant Leadership, Values & Systems",
General Management Concentration,MGT4194,Social Enterprise and Entrepreneurship,
General Management Concentration,MGT4303,Personal Selling and Sales Management,
General Management Concentration,MGT4304,Strategic Brand Management,
General Management Concentration,MGT4308,Advertising & Promotion: Integrated Marketing Communications,
General Management Concentration,MGT4309,Services Marketing,
General Management Concentration,MGT4311,Digital Marketing,
General Management Concentration,MGT4331,Consumer Behavior,
General Management Concentration,MGT4332,Database and CRM Strategy,
General Management Concentration,MGT4335,International Marketing,
General Management Concentration,MGT4352,Operations Resource Planning and Execution,
General Management Concentration,MGT4353,Operations Strategy,
General Management Concentration,MGT4360,Global Operations and Supply Chain Management,
General Management Concentration,MGT4366,Service Operations Management,
General Management Concentration,MGT4401,Supply Chain Modeling,
General Management Concentration,MGT4670,Entrepreneurship,
General Management Concentration,MGT4803,Special Topics in Management,
General Management Concentration,MGT4910,Special Problems,
Non-MGT Electives,Non-MGT Electives,6
Free Electives,Free Electives,SELECT,10
Free Electives,Total Credit Hours,122
