Category,Course Code,Course Name,Credits,URL
Wellness,APPH1040,Scientific Foundations of Health,2,https://catalog.gatech.edu/search/?P=APPH%201040
Wellness,orAPPH1050,The Science of Physical Activity and Health,2,https://catalog.gatech.edu/search/?P=APPH%201050
Wellness,orAPPH1060,Flourishing: Strategies for Well-being and Resilience,2,https://catalog.gatech.edu/search/?P=APPH%201060
Core A - Essential Skills,ENGL1101,English Composition I,3,https://catalog.gatech.edu/search/?P=ENGL%201101
Core A - Essential Skills,ENGL1102,English Composition II,3,https://catalog.gatech.edu/search/?P=ENGL%201102
Core A - Essential Skills,MATH1552,Integral Calculus,4,https://catalog.gatech.edu/search/?P=MATH%201552
Core B - Institutional Options,CS1301,Introduction to Computing,3,https://catalog.gatech.edu/search/?P=CS%201301
Core C - Humanities,Any HUM,3
Core C - Humanities,Any LMC HUM,3
Core D - Science, Math, & Technology,Lab Science,8
Core D - Science, Math, & Technology,MATH1551,Differential Calculus,2,https://catalog.gatech.edu/search/?P=MATH%201551
Core D - Science, Math, & Technology,MATH1554,Linear Algebra,4,https://catalog.gatech.edu/search/?P=MATH%201554
Core D - Science, Math, & Technology,orMATH1564,Linear Algebra with Abstract Vector Spaces,4,https://catalog.gatech.edu/search/?P=MATH%201564
Core E - Social Sciences,Select one of the following:,3
Core E - Social Sciences,HIST2111,The United States to 1877,3,https://catalog.gatech.edu/search/?P=HIST%202111
Core E - Social Sciences,HIST2112,The United States since 1877,3,https://catalog.gatech.edu/search/?P=HIST%202112
Core E - Social Sciences,INTA1200,American Government in Comparative Perspective,3,https://catalog.gatech.edu/search/?P=INTA%201200
Core E - Social Sciences,POL1101,Government of the United States,3,https://catalog.gatech.edu/search/?P=POL%201101
Core E - Social Sciences,PUBP3000,American Constitutional Issues,3,https://catalog.gatech.edu/search/?P=PUBP%203000
Core E - Social Sciences,Any SS,9,3
Core F - Courses Related to Major,CS1331,Introduction to Object Oriented Programming,3,https://catalog.gatech.edu/search/?P=CS%201331
Core F - Courses Related to Major,CS1332,Data Structures and Algorithms for Applications,3,https://catalog.gatech.edu/search/?P=CS%201332
Core F - Courses Related to Major,CS2050,Introduction to Discrete Mathematics for Computer Science,3,https://catalog.gatech.edu/search/?P=CS%202050
Core F - Courses Related to Major,CS2340,Objects and Design,3,https://catalog.gatech.edu/search/?P=CS%202340
Core F - Courses Related to Major,LMC2700,Introduction to Computational Media,3,https://catalog.gatech.edu/search/?P=LMC%202700
Core F - Courses Related to Major,MATH2550,Introduction to Multivariable Calculus,2,https://catalog.gatech.edu/search/?P=MATH%202550
Junior Design Options (Capstone),Junior Design Option,6
Media Requirements,CS2261,Media Device Architectures,4,https://catalog.gatech.edu/search/?P=CS%202261
