Category,Course Code,Course Name,Credits
Wellness Requirement,APPH1040,Scientific Foundations of Health,2
Wellness Requirement,orAPPH1050,The Science of Physical Activity and Health,2
Wellness Requirement,orAPPH1060,Flourishing: Strategies for Well-being and Resilience,2
Institutional Priority,CS1301,Introduction to Computing,3
Mathematics and Quantitative Skills,MATH1552,Integral Calculus,4
Political Science and U.S. History,HIST2111,The United States to 1877,3
Political Science and U.S. History,orHIST2112,The United States since 1877,3
Political Science and U.S. History,orINTA1200,American Government in Comparative Perspective,3
Political Science and U.S. History,orPOL1101,Government of the United States,3
Political Science and U.S. History,orPUBP3000,American Constitutional Issues,3
"Arts, Humanities, and Ethics",Any HUM,SELECT,6
Communicating in Writing,ENGL1101,English Composition I,3
Communicating in Writing,ENGL1102,English Composition II,3
"Technology, Mathematics, and Sciences",PHYS2211,Introductory Physics I,4
"Technology, Mathematics, and Sciences",PHYS2212,Introductory Physics II,4
"Technology, Mathematics, and Sciences",MATH1551,Differential Calculus,2
"Technology, Mathematics, and Sciences",MATH1554,Linear Algebra,4
Social Sciences,Choose one of the following:,3
Social Sciences,ECON2100,Economic Analysis and Policy Problems,
Social Sciences,ECON2101,The Global Economy,
Social Sciences,ECON2105,Principles of Macroeconomics,
Social Sciences,ECON2106,Principles of Microeconomics,
Social Sciences,Any SS,SELECT,6
Field of Study,ECE1100,ECE Discovery Studio,1
Field of Study,ECE2020,Digital System Design,3
Field of Study,ECE3005,Professional and Technical Communications for ECE,1
Field of Study,CS1331,Introduction to Object Oriented Programming,3
Field of Study,CS1332,Data Structures and Algorithms for Applications,3
Field of Study,CS2050,Introduction to Discrete Mathematics for Computer Science,3
Field of Study,orCS2051,Honors - Induction to Discrete Mathematics for Computer Science,3
Field of Study,MATH2550,Introduction to Multivariable Calculus,2
Field of Study,MATH2552,Differential Equations,4
Field of Study,CHEM1310,Principles of General Chemistry for Engineers,4
Field of Study,orCHEM1211K,Chemical Principles I,4
Major Requirements,Ethics,
Major Requirements,Probability/Statistics,3
Major Requirements,ECE2031,Digital Design Laboratory,2
Major Requirements,ECE2035,Programming for Hardware/Software Systems,4
Major Requirements,ECE2040,Circuit Analysis,3
Major Requirements,ECE3058,"Architecture, Systems, Concurrency, and Energy in Computation",4
"Distributed System & Software Design 2,6,9",CS3251,Computer Networking I,3
"Distributed System & Software Design 2,6,9",Select three of the following (Advanced Software):,SELECT,9
"Distributed System & Software Design 2,6,9",CS4220,Programming Embedded Systems,
"Distributed System & Software Design 2,6,9",ECE4122,Advanced Programming Techniques for Engineering Applications,
"Distributed System & Software Design 2,6,9",ECE4795,GPU Programming for Video Games,
"Distributed System & Software Design 2,6,9",ECE4150,Cloud Computing,
"Distributed System & Software Design 2,6,9",ECE4180,Embedded Systems Design,
"Distributed System & Software Design 2,6,9",CS4605,Mobile and Ubiquitous Computing,
"Distributed System & Software Design 2,6,9",CS3651,Prototyping Intelligent Devices,
"Devices 2,6,9",CS2340,Objects and Design,3
"Devices 2,6,9",CS3251,Computer Networking I,3
"Devices 2,6,9",CS3510,Design and Analysis of Algorithms,3
"Devices 2,6,9",orCS3511,"Design and Analysis of Algorithms, Honors",3
"Devices 2,6,9",Select one of the following (Building Devices):,SELECT,4
"Devices 2,6,9",CS3651,Prototyping Intelligent Devices,4
"Devices 2,6,9",ECE4180,Embedded Systems Design,4
"Devices 2,6,9",Select one of the following (Devices in the Real World):,SELECT,3
"Devices 2,6,9",CS3630,Introduction to Perception and Robotics,3
"Devices 2,6,9",CS4261,Mobile Applications and Services for Converged Networks,3
"Devices 2,6,9",CS4476,Introduction to Computer Vision,3
"Devices 2,6,9",CS4605,Mobile and Ubiquitous Computing,3
Culminating Senior Design Options (Capstone),Culminating Senior Design,3
"Free Electives 3,711",Total Credit Hours,129
