Category,Course Code,Course Name,Credits
Wellness Requirement,APPH1040,Scientific Foundations of Health,2
Wellness Requirement,orAPPH1050,The Science of Physical Activity and Health,2
Wellness Requirement,orAPPH1060,Flourishing: Strategies for Well-being and Resilience,2
Institutional Priority,CS1301,Introduction to Computing,3
Mathematics and Quantitative Skills,MATH1552,Integral Calculus,4
Political Science and U.S. History,HIST2111,The United States to 1877,3
Political Science and U.S. History,orHIST2112,The United States since 1877,3
Political Science and U.S. History,orINTA1200,American Government in Comparative Perspective,3
Political Science and U.S. History,orPOL1101,Government of the United States,3
Political Science and U.S. History,orPUBP3000,American Constitutional Issues,3
"Arts, Humanities, and Ethics",Any HUM,SELECT,6
Communicating in Writing,ENGL1101,English Composition I,3
Communicating in Writing,ENGL1102,English Composition II,3
"Technology, Mathematics, and Sciences",PHYS2211,Introductory Physics I,4
"Technology, Mathematics, and Sciences",Lab Science,4
"Technology, Mathematics, and Sciences",MATH1551,Differential Calculus,2
"Technology, Mathematics, and Sciences",MATH1554,Linear Algebra,4
"Technology, Mathematics, and Sciences",orMATH1564,Linear Algebra with Abstract Vector Spaces,4
Social Sciences,Any SS,SELECT,9
Field of Study,Lab Science,4
Field of Study,CS1100,Freshman Leap Seminar,1
Field of Study,CS1331,Introduction to Object Oriented Programming,3
Field of Study,CS1332,Data Structures and Algorithms for Applications,3
Field of Study,CS2050,Introduction to Discrete Mathematics for Computer Science,3
Field of Study,orCS2051,Honors - Induction to Discrete Mathematics for Computer Science,3
Field of Study,MATH2550,Introduction to Multivariable Calculus,2
Major Requirements,CS2340,Objects and Design,3
Major Requirements,Select one for Professionalism/Ethics requirement:,SELECT,3
Major Requirements,CS3001,"Computing, Society, and Professionalism",3
Major Requirements,CS4001,"Computing, Society, and Professionalism",3
Major Requirements,CS4002,Robots and Society,3
Major Requirements,CS4003,"AI, Ethics, and Society",3
Major Requirements,CS4726,"Privacy, Technology, Policy, and Law",3
Major Requirements,SLS3110,Technology and Sustainable Community Development,3
Junior Design Options (Capstone),Junior Design Option,SELECT,6
Concentration,CS2110,Computer Organization and Programming,4
Concentration,CS2200,Computer Systems and Networks,4
Concentration,CS3251,Computer Networking I,3
Concentration,ECE2031,Digital Design Laboratory,2
Concentration,Select one of the following for Building Devices:,SELECT,4
Concentration,CS3651,Prototyping Intelligent Devices,4
Concentration,ECE4180,Embedded Systems Design,4
Concentration,Select one of the following for Devices in the Real World:,SELECT,3
Concentration,CS3630,Introduction to Perception and Robotics,3
Concentration,CS4261,Mobile Applications and Services for Converged Networks,3
Concentration,CS4605,Mobile and Ubiquitous Computing,3
Concentration,CS4476,Introduction to Computer Vision,3
Concentration,Select one of the following for Algorithm Fundamentals:,SELECT,3
Concentration,CS3240,Languages and Computation,3
Concentration,CS3510,Design and Analysis of Algorithms,3
Concentration,CS3511,"Design and Analysis of Algorithms, Honors",3
Concentration,Select three of the following for Media Technologies:,SELECT,9
Concentration,CS3451,Computer Graphics,3
Concentration,CS4455,Video Game Design and Programming,3
Concentration,CS4460,Introduction to Information Visualization,3
Concentration,CS4464,Computational Journalism,3
Concentration,CS4475,Computational Photography,3
Concentration,CS4488,Procedural Content Generation,3
Concentration,CS4496,Computer Animation,3
Concentration,CS4590,Principles and Applications of Computer Audio,3
Other Required Courses,MATH3012,Applied Combinatorics,3
Other Required Courses,Select one of the following:,SELECT,3
Other Required Courses,MATH3215,Introduction to Probability and Statistics,3
Other Required Courses,MATH3670,Probability and Statistics with Applications,3
Other Required Courses,CEE3770,Statistics and Applications,3
Other Required Courses,ISYE3770,Statistics and Applications,3
Other Required Courses,orISYE2027&ISYE2028,Probability with Applicationsand Basic Statistical Methods,3
Free Electives,Free Electives,SELECT,13
Free Electives,Total Credit Hours,126
