Category,Course Code,Course Name,Credits
Wellness Requirement,APPH1040,Scientific Foundations of Health,2
Wellness Requirement,orAPPH1050,The Science of Physical Activity and Health,2
Wellness Requirement,orAPPH1060,Flourishing: Strategies for Well-being and Resilience,2
Institutional Priority,CS1301,Introduction to Computing,3
Mathematics and Quantitative Skills,MATH1552,Integral Calculus,4
Political Science and U.S. History,HIST2111,The United States to 1877,3
Political Science and U.S. History,orHIST2112,The United States since 1877,3
Political Science and U.S. History,orINTA1200,American Government in Comparative Perspective,3
Political Science and U.S. History,orPOL1101,Government of the United States,3
Political Science and U.S. History,orPUBP3000,American Constitutional Issues,3
"Arts, Humanities, and Ethics",Any HUM,SELECT,6
Communicating in Writing,ENGL1101,English Composition I,3
Communicating in Writing,ENGL1102,English Composition II,3
"Technology, Mathematics, and Sciences",PHYS2211,Introductory Physics I,4
"Technology, Mathematics, and Sciences",Lab Science,4
"Technology, Mathematics, and Sciences",MATH1551,Differential Calculus,2
"Technology, Mathematics, and Sciences",MATH1554,Linear Algebra,4
"Technology, Mathematics, and Sciences",orMATH1564,Linear Algebra with Abstract Vector Spaces,4
Social Sciences,PSYC1101,General Psychology,3
Social Sciences,Any SS,SELECT,6
Field of Study,Lab Science,4
Field of Study,CS1100,Freshman Leap Seminar,1
Field of Study,CS1331,Introduction to Object Oriented Programming,3
Field of Study,CS1332,Data Structures and Algorithms for Applications,3
Field of Study,CS2050,Introduction to Discrete Mathematics for Computer Science,3
Field of Study,orCS2051,Honors - Induction to Discrete Mathematics for Computer Science,3
Field of Study,MATH2550,Introduction to Multivariable Calculus,2
Major Requirements,CS2340,Objects and Design,3
Major Requirements,Select one for Professionalism/Ethics requirements:,SELECT,3
Major Requirements,CS3001,"Computing, Society, and Professionalism",3
Major Requirements,CS4001,"Computing, Society, and Professionalism",3
Major Requirements,CS4002,Robots and Society,3
Major Requirements,CS4003,"AI, Ethics, and Society",3
Major Requirements,CS4726,"Privacy, Technology, Policy, and Law",3
Major Requirements,SLS3110,Technology and Sustainable Community Development,3
Junior Design Options (Capstone),Junior Design Option,SELECT,6
Concentration,CS2110,Computer Organization and Programming,4
Concentration,CS2200,Computer Systems and Networks,4
Concentration,CS3510,Design and Analysis of Algorithms,3
Concentration,orCS3511,"Design and Analysis of Algorithms, Honors",3
Concentration,MATH2552,Differential Equations,4
Concentration,PSYC2015,Research Methods,4
Concentration,CS3750,Human Computer Interface Design and Evaluation,3
Concentration,orCS3751,Introduction to User Interface Design,3
Concentration,Select two of the following for Computational Science and Engineering:,SELECT,6
Concentration,CS4641,Machine Learning,
Concentration,CX4140,Computational Modeling Algorithms,
Concentration,CX4220,Introduction to High Performance Computing,
Concentration,CX4230,Computer Simulation,
Concentration,CX4640,Numerical Analysis I,
Concentration,Select two of the following for Human-Centered Technology:,SELECT,6
Concentration,CS3790,Introduction to Cognitive Science,
Concentration,CS4660,Introduction to Educational Technology,
Concentration,CS4460,Introduction to Information Visualization,
Concentration,CS4470,Introduction to User Interface Software,
Concentration,CS4472,Design of Online Communities,
Concentration,CS4605,Mobile and Ubiquitous Computing,
Concentration,CS4745,Information and Communication Technologies and Global Development,
Concentration,Select one of the following for Social/Behavioral Science for Computing:,SELECT,3
Concentration,PSYC2210,Social Psychology,3
Concentration,PSYC2760,Human Language Processing,3
Concentration,PSYC3040,Sensation and Perception,3
Other Required Courses,MATH3012,Applied Combinatorics,3
 ,Choose one of the following:,3
 ,MATH3215,Introduction to Probability and Statistics,
 ,MATH3670,Probability and Statistics with Applications,
 ,CEE3770,Statistics and Applications,
 ,ISYE3770,Statistics and Applications,
 ,orISYE2027&ISYE2028,Probability with Applicationsand Basic Statistical Methods,-1
Free Electives,Free Electives,SELECT,8
Free Electives,Total Credit Hours,126
