Category,Course Code,Course Name,Credits
Wellness Requirement,APPH1040,Scientific Foundations of Health,2
Wellness Requirement,orAPPH1050,The Science of Physical Activity and Health,2
Wellness Requirement,orAPPH1060,Flourishing: Strategies for Well-being and Resilience,2
Institutional Priority,CS1301,Introduction to Computing,3
Institutional Priority,orCS1315,Introduction to Media Computation,3
Mathematics and Quantitative Skills,MATH1712,Survey of Calculus,4
Mathematics and Quantitative Skills,orMATH1552,Integral Calculus,4
Political Science and U.S. History,HIST2111,The United States to 1877,3
Political Science and U.S. History,orHIST2112,The United States since 1877,3
Political Science and U.S. History,orINTA1200,American Government in Comparative Perspective,3
Political Science and U.S. History,orPOL1101,Government of the United States,3
Political Science and U.S. History,orPUBP3000,American Constitutional Issues,3
"Arts, Humanities, and Ethics",Modern Language,6
Communicating in Writing,ENGL1101,English Composition I,3
Communicating in Writing,ENGL1102,English Composition II,3
"Technology, Mathematics, and Sciences",Lab Science,4
"Technology, Mathematics, and Sciences",Lab Science,4
"Technology, Mathematics, and Sciences",MATH1711,Finite Mathematics,4
"Technology, Mathematics, and Sciences",orMATH1551&MATH1553,Differential Calculusand Introduction to Linear Algebra,4
Social Sciences,HTS Electives,9
Field of Study,Select one of the following:,SELECT,3
Field of Study,ECON2100,Economic Analysis and Policy Problems,3
Field of Study,ECON2101,The Global Economy,3
Field of Study,ECON2105,Principles of Macroeconomics,3
Field of Study,ECON2106,Principles of Microeconomics,3
Field of Study,HTS Elective,3
Field of Study,Select two of the following:,SELECT,6
Field of Study,HTS1031,Europe Since the Renaissance,3
Field of Study,HTS2036,Revolutionary Europe: 1789-1914,3
Field of Study,HTS2037,Twentieth Century Europe: 1914 to Present,3
Field of Study,HTS2040,History of Islamic Societies,3
Field of Study,HTS2041,History of the Modern Middle East,3
Field of Study,HTS2061,Traditional Asia and Its Legacy,3
Field of Study,HTS2062,Asia in the Modern World,3
Field of Study,HTS3028,"Ancient Greece: Gods, Heroes, and RuinS",3
Field of Study,HTS3029,Ancient Rome: From Greatness to Ruins,3
Field of Study,HTS3030,Medieval Europe: 350 to 1400,3
Field of Study,HTS3031,European Labor History,3
Field of Study,HTS3032,Modern European Intellectual History,3
Field of Study,HTS3033,Medieval England,3
Field of Study,HTS3035,Britain from 1815-1914,3
Field of Study,HTS3036,Britain Since 1914,3
Field of Study,HTS3038,The French Revolution,3
Field of Study,HTS3039,Modern France,3
Field of Study,HTS3041,Modern Spain,3
Field of Study,HTS3043,Modern Germany,3
Field of Study,HTS3045,Nazi Germany and the Holocaust,3
Field of Study,HTS3046,"Science, Politics, and Culture in Nazi Germany",3
Field of Study,HTS3048,Modern Russian History and Society,3
Field of Study,HTS3051,Women and the Politics of Gender in the Middle East,3
Field of Study,HTS3055,Globalization in the Modern Era,3
Field of Study,HTS3061,Modern China,3
Field of Study,HTS3062,Modern Japan,3
Field of Study,HTS3063,Outposts of Empire: Comparative History of British,3
Field of Study,HTS3064,Sociology of Development,3
Field of Study,HTS3065,History of Global Societies,3
Field of Study,HTS3069,Modern Cuba,3
Field of Study,HTS2101,Historical and Social Research,3
Field of Study,HIST2111,The United States to 1877,3
Field of Study,orHIST2112,The United States since 1877,3
Field of Study,SOC1101,Introduction to Sociology,3
Major Requirements,Select two of the following:,SELECT,6
Major Requirements,HTS1081,Engineering in History,
Major Requirements,HTS2080,Introduction to the History of Disease and Medicine,
Major Requirements,HTS2081,The Scientific Revolution,
Major Requirements,HTS2082,Technology and Science in the Industrial Age,
Major Requirements,HTS2084,Technology and Society,
Major Requirements,HTS2100,"Sci, Tech & Modern World",
Major Requirements,HTS3001,American Economic History,
Major Requirements,HTS3007,"Sociology of Work, Industry, and Occupations",
Major Requirements,HTS3020,Gender and Technology,
Major Requirements,HTS3021,Women in Science and Engineering,
Major Requirements,HTS3046,"Science, Politics, and Culture in Nazi Germany",
Major Requirements,HTS3080,History of Rocketry,
Major Requirements,HTS3081,Technology and the Environment,
Major Requirements,HTS3082,Sociology of Science,
Major Requirements,HTS3083,Technology and the Shaping of American Society,
Major Requirements,HTS3084,Culture and Technology,
Major Requirements,HTS3085,"Law, Technology, and Politics",
Major Requirements,HTS3086,Sociology of Medicine and Health,
Major Requirements,HTS3087,History of Medicine,
Major Requirements,HTS3088,"Race, Medicine & Science",
Major Requirements,HTS3089,"Science, Technology and Sports",
Major Requirements,Select 8 credit hours of the following:,SELECT,8
Major Requirements,HTS4001,Seminar in United States History,
Major Requirements,HTS4011,Seminar in Sociology,
Major Requirements,HTS4031,Seminar in European History,
Major Requirements,HTS4061,Seminar in Asian History,
Major Requirements,HTS4081,Seminar in History of Technology,
Major Requirements,HTS4086,"Seminar in Health, Medicine, and Society",
Major Requirements,HTS4091,Seminar in Global Issues,
Major Requirements,HTS Elective,3
HTS Specialization Electives9,Select three classes from one of the following specialization groups:,SELECT,
HTS Specialization Electives9,U.S. Society,
HTS Specialization Electives9,HTS2001,Early American History,
HTS Specialization Electives9,HTS2002,The American Revolution and Constitution,
HTS Specialization Electives9,HTS2006,History of the Old South to 1865,
HTS Specialization Electives9,HTS2007,History of the New South since 1865,
HTS Specialization Electives9,HTS2011,The Gilded Age and the Progressive Era,
HTS Specialization Electives9,HTS2013,Modern America: World War II and After,
HTS Specialization Electives9,HTS2015,History of Sports in America,
HTS Specialization Electives9,HTS2052,North American Borderlands,
HTS Specialization Electives9,HTS2085,Reel History I: US History through Hollywood Films,
HTS Specialization Electives9,HTS3001,American Economic History,
HTS Specialization Electives9,HTS3002,History of American Business,
HTS Specialization Electives9,HTS3005,American Environmental History,
HTS Specialization Electives9,HTS3006,United States Labor History,
HTS Specialization Electives9,HTS3009,The American Civil War,
HTS Specialization Electives9,HTS3011,The City in American History,
HTS Specialization Electives9,HTS3012,Urban Sociology,
HTS Specialization Electives9,HTS3015,History of the Vietnam War,
HTS Specialization Electives9,HTS3016,Women and Gender in the United States,
HTS Specialization Electives9,HTS3018,New Religions and Cults in America,
HTS Specialization Electives9,HTS3019,"The Family, Sexuality, and Social Change in America",
HTS Specialization Electives9,HTS3022,Gender and Sports,
HTS Specialization Electives9,HTS3023,Slaves without Masters: Free People of Color before 1865,
HTS Specialization Electives9,HTS3024,African American History to 1865,
HTS Specialization Electives9,HTS3025,African American History since 1865,
HTS Specialization Electives9,HTS3026,Sociology of Race and Ethnicity,
HTS Specialization Electives9,HTS3027,The Civil Rights Movement,
HTS Specialization Electives9,HTS3068,Social Movements,
HTS Specialization Electives9,HTS3070,Culture and Society,
HTS Specialization Electives9,HTS3073,Sociology of Sports,
HTS Specialization Electives9,HTS3083,Technology and the Shaping of American Society,
HTS Specialization Electives9,HTS3100,Introduction to Museum Studies,
HTS Specialization Electives9,Global Studies,
HTS Specialization Electives9,HTS1031,Europe Since the Renaissance,
HTS Specialization Electives9,HTS2036,Revolutionary Europe: 1789-1914,
