Category,Course Code,Course Name,Credits
Wellness Requirement,APPH1040,Scientific Foundations of Health,2
Wellness Requirement,orAPPH1050,The Science of Physical Activity and Health,2
Wellness Requirement,orAPPH1060,Flourishing: Strategies for Well-being and Resilience,2
Institutional Priority,CS1371,Computing for Engineers,3
Mathematics and Quantitative Skills,MATH1552,Integral Calculus,4
Political Science and U.S. History,HIST2111,The United States to 1877,3
Political Science and U.S. History,orHIST2112,The United States since 1877,3
Political Science and U.S. History,orINTA1200,American Government in Comparative Perspective,3
Political Science and U.S. History,orPOL1101,Government of the United States,3
Political Science and U.S. History,orPUBP3000,American Constitutional Issues,3
"Arts, Humanities, and Ethics",Any HUM,SELECT,6
Communicating in Writing,ENGL1101,English Composition I,3
Communicating in Writing,ENGL1102,English Composition II,3
"Technology, Mathematics, and Sciences",PHYS2211,Introductory Physics I,4
"Technology, Mathematics, and Sciences",PHYS2212,Introductory Physics II,4
"Technology, Mathematics, and Sciences",MATH1551,Differential Calculus,2
"Technology, Mathematics, and Sciences",MATH1553,Introduction to Linear Algebra,2
Social Sciences,Select one of the following:,SELECT,3
Social Sciences,ECON2100,Economic Analysis and Policy Problems,3
Social Sciences,ECON2101,The Global Economy,3
Social Sciences,ECON2105,Principles of Macroeconomics,3
Social Sciences,ECON2106,Principles of Microeconomics,3
Social Sciences,Any SS,SELECT,6
Field of Study,CHEM1211K,Chemical Principles I,4
Field of Study,CHEM1212K,Chemical Principles II,4
Field of Study,CHEM1315,Survey of Organic Chemistry for Engineers,3
Field of Study,MATH2551,Multivariable Calculus,4
Field of Study,MATH2552,Differential Equations,4
Major Requirements,Ethics,
Major Requirements,MSE1111,Introduction to Materials Science and Engineering,1
Major Requirements,MSE2001,Principles and Applications of Engineering Materials,3
Major Requirements,MSE2021,Materials Characterization,4
Major Requirements,MSE3001,Chemical Thermodynamics of Materials,3
Major Requirements,MSE3002,"Structural Transformations in Metallic, Ceramic, and Polymeric Systems",3
Major Requirements,MSE3005,Mechanical Behavior of Materials,3
Major Requirements,MSE3015,"Electrical, Optical, and Magnetic Properties",3
Major Requirements,MSE3021,Materials Laboratory I,2
Major Requirements,MSE3025,Statistics and Numerical Methods in Materials Science and Engineering,3
Major Requirements,MSE3210,Transport Phenomena,3
Major Requirements,MSE4022,Materials Laboratory II,2
Major Requirements,MSE4410,Capstone Engineering Design I,3
Major Requirements,MSE4420,Capstone Engineering Design II,3
Major Requirements,orME4723,Interdisciplinary Capstone Design,3
Major Requirements,MSE4775,Polymer Science and Engineering I: Formation and Properties,3
Other Requirements,COE2001,Statics,2
Other Requirements,COE3001,Mechanics of Deformable Bodies,3
Other Requirements,ECE3710,Circuits and Electronics,2
Other Requirements,ECE3741,Instrumentation and Electronics Lab,1
Other Requirements,ISYE3025,Essentials of Engineering Economy,1
Biomaterials Concentration,BIOS1107&1107L,Biological Principlesand Biological Principles Laboratory,4
Biomaterials Concentration,MSE4751,Introduction to Biomaterials,3
Biomaterials Concentration,Select one of the following:,SELECT,3
Biomaterials Concentration,MSE4330,Fundamentals of Nanomaterials and Nanostructures,3
Biomaterials Concentration,MSE4335,Soft Nano and Bio Materials,3
Biomaterials Concentration,MSE4740,Biologically Inspired Design,3
Biomaterials Concentration,CHEM3511,Survey of Biochemistry,3
Biomaterials Concentration,Biomaterials Elective Course,3
Free Electives,Free Electives,SELECT,4
Free Electives,Total Credit Hours,129
