Category,Course Code,Course Name,Credits
Wellness Requirement,APPH1040,Scientific Foundations of Health,2
Wellness Requirement,orAPPH1050,The Science of Physical Activity and Health,2
Wellness Requirement,orAPPH1060,Flourishing: Strategies for Well-being and Resilience,2
Institutional Priority,CS1301,Introduction to Computing,3
Mathematics and Quantitative Skills,MATH1552,Integral Calculus,4
Political Science and U.S. History,HIST2111,The United States to 1877,3
Political Science and U.S. History,orHIST2112,The United States since 1877,3
Political Science and U.S. History,orINTA1200,American Government in Comparative Perspective,3
Political Science and U.S. History,orPOL1101,Government of the United States,3
Political Science and U.S. History,orPUBP3000,American Constitutional Issues,3
"Arts, Humanities, and Ethics",Any HUM,SELECT,6
Communicating in Writing,ENGL1101,English Composition I,3
Communicating in Writing,ENGL1102,English Composition II,3
"Technology, Mathematics, and Sciences",PHYS2211,Introductory Physics I,4
"Technology, Mathematics, and Sciences",PHYS2212,Introductory Physics II,4
"Technology, Mathematics, and Sciences",MATH1551,Differential Calculus,2
"Technology, Mathematics, and Sciences",orMATH1550,Introduction to Differential Calculus,2
"Technology, Mathematics, and Sciences",MATH1553,Introduction to Linear Algebra,2
"Technology, Mathematics, and Sciences",orMATH1554,Linear Algebra,2
"Technology, Mathematics, and Sciences",orMATH1564,Linear Algebra with Abstract Vector Spaces,2
Social Sciences,Any SS,SELECT,9
Field of Study,CS1331,Introduction to Object Oriented Programming,3
Field of Study,Lab Science,4
Field of Study,MATH2551,Multivariable Calculus,4
Field of Study,orMATH2561,Honors Multivariable Calculus,4
Field of Study,MATH2552,Differential Equations,4
Field of Study,orMATH2562,Honors Differential Equations,4
Field of Study,MATH2106,Foundations of Mathematical Proof,3
Bridging Courses,MATH3012,Applied Combinatorics,3
Bridging Courses,MATH3235,Probability Theory,3
Bridging Courses,MATH3406,A Second Course in Linear Algebra,3
Upper Level Foundation Courses,MATH4107,Introduction to Abstract Algebra I,3
Upper Level Foundation Courses,MATH4317,Analysis I,3
Upper Level Foundation Courses,MATH4320,Complex Analysis,3
General Mathematics  721,Select twelve credits:,SELECT,
General Mathematics  721,MATH3236,Statistical Theory,
General Mathematics  721,MATH4022,Introduction to Graph Theory,
General Mathematics  721,MATH4032,Combinatorial Analysis,
General Mathematics  721,MATH4108,Introduction to Abstract Algebra II,
General Mathematics  721,MATH4150,Introduction to Number Theory,
General Mathematics  721,MATH4210,Mathematical Foundations of Data Science,
General Mathematics  721,MATH4221,Stochastic Processes I,
General Mathematics  721,MATH4261,Mathematical Statistics I,
General Mathematics  721,MATH4318,Analysis II,
General Mathematics  721,MATH4347,Partial Differential Equations I,
General Mathematics  721,MATH4431,Introductory Topology,
General Mathematics  721,MATH4432,Introduction to Algebraic Topology,
General Mathematics  721,MATH4441,Differential Geometry,
General Mathematics  721,MATH4541,Dynamics and Bifurcations I,
General Mathematics  721,MATH4640,Numerical Analysis I,
General Mathematics  721,"Select nine credits (or, select nine credits from previous list):",SELECT,
General Mathematics  721,MATH4012,Algebraic Structures in Coding Theory,
General Mathematics  721,MATH4080&MATH4090,Senior Project Iand Senior Project II,
General Mathematics  721,MATH4222,Stochastic Processes II,
General Mathematics  721,MATH4255,Monte Carlo Methods,
General Mathematics  721,MATH4262,Mathematical Statistics II,
General Mathematics  721,MATH4280,Introduction to Information Theory,
General Mathematics  721,MATH4348,Partial Differential Equations II,
General Mathematics  721,MATH4542,Dynamics and Bifurcations II,
General Mathematics  721,MATH4580,Linear Programming,
General Mathematics  721,MATH4581,Classical Mathematical Methods in Engineering,
General Mathematics  721,MATH4641,Numerical Analysis II,
General Mathematics  721,MATH4699,Undergraduate Research,
General Mathematics  721,MATH4755,Mathematical Biology,
General Mathematics  721,MATH4777,Vector and Parallel Scientific Computation,
General Mathematics  721,MATH4782,Quantum Information and Quantum Computing,
General Mathematics  721,MATH4801,Special Topics,
General Mathematics  721,MATH4802,Special Topics,
General Mathematics  721,CS3510,Design and Analysis of Algorithms,
General Mathematics  721,orCS3511,"Design and Analysis of Algorithms, Honors",-1
General Mathematics  721,CS4510,Automata and Complexity Theory,
General Mathematics  721,CS4540,Advanced Algorithms,
General Mathematics  721,CS4641,Machine Learning,
General Mathematics  721,CX4140,Computational Modeling Algorithms,
General Mathematics  721,CX4240,Introduction to Computing for Data Analysis,
General Mathematics  721,CS4530,Randomized Algorithms,
General Mathematics  721,ECON3161,Econometric Analysis,
General Mathematics  721,ECON4180,Game Theory I,
General Mathematics  721,ISYE3133,Engineering Optimization,
General Mathematics  721,ISYE4031,Regression and Forecasting,
General Mathematics  721,ISYE4133,Advanced Optimization,
Engineering or Science Electives 7,"BIOS, CHEM, EAS, PHYS, PSYC, ECON, CS, CX, AE, BMED, CEE, CHBE, ECE, ISYE, MSE, ME 3000-level or higher courses",9
Free Electives,Free Electives,SELECT,11
Free Electives,Total Credit Hours,122
