Category,Course Code,Course Name,Credits
Wellness Requirement,APPH1040,Scientific Foundations of Health,2
Wellness Requirement,orAPPH1050,The Science of Physical Activity and Health,2
Wellness Requirement,orAPPH1060,Flourishing: Strategies for Well-being and Resilience,2
Institutional Priority,CS1371,Computing for Engineers,3
Institutional Priority,orCS1301,Introduction to Computing,3
Institutional Priority,orCS1315,Introduction to Media Computation,3
Mathematics and Quantitative Skills,MATH1552,Integral Calculus,4
Political Science and U.S. History,HIST2111,The United States to 1877,3
Political Science and U.S. History,orHIST2112,The United States since 1877,3
Political Science and U.S. History,orINTA1200,American Government in Comparative Perspective,3
Political Science and U.S. History,orPOL1101,Government of the United States,3
Political Science and U.S. History,orPUBP3000,American Constitutional Issues,3
"Arts, Humanities, and Ethics",Any HUM,SELECT,6
Communicating in Writing,ENGL1101,English Composition I,3
Communicating in Writing,ENGL1102,English Composition II,3
"Technology, Mathematics, and Sciences",PHYS2211,Introductory Physics I,4
"Technology, Mathematics, and Sciences",PHYS2212,Introductory Physics II,4
"Technology, Mathematics, and Sciences",MATH1551,Differential Calculus,2
"Technology, Mathematics, and Sciences",MATH1553,Introduction to Linear Algebra,2
Social Sciences,ECON2100,Economic Analysis and Policy Problems,3
Social Sciences,orECON2101,The Global Economy,3
Social Sciences,orECON2105,Principles of Macroeconomics,3
Social Sciences,orECON2106,Principles of Microeconomics,3
Social Sciences,Any SS,SELECT,6
Field of Study,MUSI2010,Fundamentals of Musicianship I,3
Field of Study,MUSI2011,Fundamentals of Musicianship II,3
Field of Study,MUSI2012,Fundamentals of Musicianship III,3
Field of Study,MUSI2013,Fundamentals of Musicianship IV,3
Field of Study,MUSI2015,Laptop Orchestra,3
Field of Study,MUSI2525,Introduction Audio Technology I,3
Major Requirements,MUSI Ensemble Requirement,
Major Requirements,MUSI2526,Introduction to Audio Technology II,3
Major Requirements,MUSI4630,Music Recording and Mixing,3
Major Requirements,MUSI3770,Project Studio: Technology,4
Major Requirements,MUSI4677,Music Perception and Cognition,3
Major Requirements,MUSI Upper Division (4000-level) Elective,6
Major Requirements,MUSI4705,Music Technology Capstone I,4
Major Requirements,MUSI Additional Electives (any MUSI 4000-level courses or ensemble courses),5
Non-Major Cluster,Advisor approved courses,15
Free Electives,Free Electives,SELECT,16
Free Electives,Total Credit Hours,122
