Category,Course Code,Course Name,Credits
Wellness Requirement,APPH1040,Scientific Foundations of Health,2
Wellness Requirement,orAPPH1050,The Science of Physical Activity and Health,2
Wellness Requirement,orAPPH1060,Flourishing: Strategies for Well-being and Resilience,2
Institutional Priority,CS1315,Introduction to Media Computation,3
Mathematics and Quantitative Skills,MATH1712,Survey of Calculus,4
Mathematics and Quantitative Skills,orMATH1552,Integral Calculus,4
Political Science and U.S. History,POL1101,Government of the United States,3
"Arts, Humanities, and Ethics",Any HUM,SELECT,6
Communicating in Writing,ENGL1101,English Composition I,3
Communicating in Writing,ENGL1102,English Composition II,3
"Technology, Mathematics, and Sciences",Lab Science,4
"Technology, Mathematics, and Sciences",Lab Science,4
"Technology, Mathematics, and Sciences",MATH1711,Finite Mathematics,4
"Technology, Mathematics, and Sciences",orMATH1551&MATH1553,Differential Calculusand Introduction to Linear Algebra,4
Social Sciences,Any SS,SELECT,9
Field of Study,ECON2106,Principles of Microeconomics,3
Field of Study,PHIL2025,Philosophical Analysis of Policy Choices,3
Field of Study,PUBP2010,Political Processes,3
Field of Study,PUBP2030,Organizations and Policy,3
Field of Study,"Science, Computing, or Engineering Elective",6
Major Requirements,PUBP3020,Applied Political Economy,3
Major Requirements,PUBP3030,Policy Analysis,3
Major Requirements,PUBP3120,Statistical Analysis for Public Policy,3
Major Requirements,PUBP3130,Research Methods and  Problem Solving,3
Major Requirements,PUBP4010,Policy Task Force I,3
Major Requirements,PUBP4020,Policy Task Force II,3
Major Requirements,PUBP2651,Public Policy Internship,3
Major Requirements,orPUBP4651,Public Policy Internship,3
Clusters,Students must select nine hours each from two clusters. See Cluster Electives below for options.,18
Non-Major Cluster,"Any POL, PHIL, or PUBP course",SELECT,3
Free Electives,Free Electives,SELECT,17
Free Electives,Total Credit Hours,122
